artist_kr,artist_slug,title,medium,dimensions,date,auction_house,sale_name,lot,price,estimate,url
"박서보","park-seo-bo","Ecriture Series I #3, 1994","mixed media on paper","75 x 55 cm","2022년 4월 28일","Sotheby's","Contemporary Day Auction","Lot 573","HK$327,600 • US$41,751","HK$300,000–HK$500,000 (est)","/auction-result/6941025"
"박서보","park-seo-bo","Écriture No. 91-75, 1975","pencil and oil on canvas","75 162 cm x 130 cm 130 x 162 cm. (51 1⁄8 x 63 3⁄4 in.)","2021년 12월 1일","Christie's","20th/21st Century Art Evening Sale","Lot 36","HK$6,000,000 • US$769,990","HK$3,500,000–HK$5,500,000 (est)","/auction-result/6957094"
"박서보","park-seo-bo","Ecriture No. 060427, 2006","mixed media and Korean paper on canvas","195 x 162 cm. (76 3/4 x 63 3/4 in.)","2021년 11월 29일","Phillips • Hong Kong","20th Century & Contemporary Art & Design Day Sale in Association with Poly Auction","Lot 211","HK$3,780,000 • US$484,618","HK$1,200,000–HK$2,200,000 (est)","/auction-result/6539475"
"박서보","park-seo-bo","Ecriture No. 15, 1977","oil and pencil on canvas","130 x 195 cm. (51 1/8 x 76 3/4 in.)","2021년 6월 8일","Phillips • Hong Kong","20th Century & Contemporary Art Evening Sale in Association with Poly Auction","Lot 14","HK$8,115,000 • US$1,045,714","HK$4,000,000–HK$6,000,000 (est)","/auction-result/6541293"
"박서보","park-seo-bo","Ecriture No.050508, 2005","mixed media on Korean paper laid on canvas","130.0 x 195.0 cm","2021년 5월 25일","Christie's","20th and 21st Century Art Afternoon Session","Lot 263","HK$3,000,000 • US$386,382","HK$1,500,000–HK$2,500,000 (est)","/auction-result/6495110"
"박서보","park-seo-bo","Ecriture No. 1, 1996","Mixedmedia","21.3 x 27.3 cm","2021년 4월 23일","SBI Art Auction","Modern and Contemporary Art","Lot 101","JPY ¥1,322,500 • US$12,247","JPY ¥200,000–¥300,000 (est)","/auction-result/6507576"
"박서보","park-seo-bo","Ecriture N.950705, 1995","mixed media on Korean paper on canvas","91.0 x 73.0 cm","2021년 4월 13일","Sotheby's","Contemporary Curated","Lot 39","£239,400 • US$329,260","£15,000–£25,000 (est)","/auction-result/7273048"
"박서보","park-seo-bo","Ecriture N.000424, 2000","mixed media with Korean paper on canvas","91.5 x 73.0 cm","2020년 11월 24일","Sotheby's","Contemporary Curated","Lot 102","£40,320 • US$53,732","£15,000–£25,000 (est)","/auction-result/7273045"
"박서보","park-seo-bo","ÉCRITURE N. 78-74, 1974","pencil and oil on canvas","60.0 x 75.0 cm","2020년 7월 30일","Sotheby's","Contemporary Art Day Sale","Lot 841","Bought In","£70,000–£90,000 (est)","/auction-result/7273044"
"박서보","park-seo-bo","ÉCRITURE N. 78-74, 1974","pencil and oil on canvas","60 x 75 cm","2020년 7월 20일","Sotheby's • London","Contemporary Art Day Sale","Lot 841","Bought In","£70,000–£90,000 (est)","/auction-result/6436402"
"박서보","park-seo-bo","ECRITURE NO. 49-73, 1973","oil and pencil on canvas","32 x 41 cm","2020년 7월 10일","Sotheby's • Hong Kong","Contemporary Art Day Sale","Lot 563","HK$875,000 • US$112,901","HK$300,000–HK$500,000 (est)","/auction-result/6425204"
