_track6_row_id,artist_key,artist_name_ko,artist_name_ko_orig,medium_category,support_category,has_depth,is_3d_candidate,is_high_price_candidate,is_extreme_aspect_ratio,price_krw,ln_price_krw
20613,soilart jo dojoong,소일아트 조도중,소일아트조도중,other,canvas,True,False,False,False,7189800.0,15.788173912898664
20614,joong hyun park,박중현,박중현,oil,canvas,True,False,False,False,1316520.0,14.090502449599535
20615,joong hyun park,박중현,박중현,oil,canvas,True,False,False,False,1190940.0,13.99025346923468
20616,juyoung park,박주영,박주영,acrylic,canvas,True,False,False,False,2746200.0,14.825728695869788
20617,joong hyun park,박중현,박중현,oil,canvas,True,False,False,False,1190940.0,13.99025346923468
20618,theyoohwa korea,더유화코레아,더유화코레아,mixed_media,paper,True,False,False,False,42962698.0,17.57584280879996
20619,joong hyun park,박중현,박중현,oil,canvas,True,False,False,False,1189560.0,13.989094048814945
20620,joong hyun park,박중현,박중현,oil,canvas,True,False,False,False,932880.0,13.746031854194214
20624,joong hyun park,박중현,박중현,oil,canvas,True,False,False,False,1188180.0,13.98793328257898
20626,joong hyun park,박중현,박중현,oil,canvas,True,False,False,False,1192320.0,13.991411546955304
20627,matthew anderson,매튜 앤더슨,매튜안데르선,oil,canvas,True,False,False,False,8763000.0,15.986048870037989
20629,matthew anderson,매튜 앤더슨,매튜안데르선,oil,canvas,True,False,False,False,5892600.0,15.58920788437392
20630,matthew anderson,매튜 앤더슨,매튜안데르선,oil,canvas,True,False,False,False,1104000.0,13.914450505819175
20631,matthew anderson,매튜 앤더슨,매튜안데르선,oil,canvas,True,False,False,False,5892600.0,15.58920788437392
20632,matthew anderson,매튜 앤더슨,매튜안데르선,oil,canvas,True,False,False,False,5892600.0,15.58920788437392
20633,matthew anderson,매튜 앤더슨,매튜안데르선,oil,canvas,True,False,False,False,1104000.0,13.914450505819175
20634,matthew anderson,매튜 앤더슨,매튜안데르선,oil,canvas,True,False,False,False,5892600.0,15.58920788437392
20635,matthew anderson,매튜 앤더슨,매튜안데르선,oil,canvas,True,False,False,False,1104000.0,13.914450505819175
20636,matthew anderson,매튜 앤더슨,매튜안데르선,oil,canvas,True,False,False,False,10915800.0,16.20572183891295
20637,matthew anderson,매튜 앤더슨,매튜안데르선,oil,canvas,True,False,False,False,5892600.0,15.58920788437392
20638,matthew anderson,매튜 앤더슨,매튜안데르선,oil,canvas,True,False,False,False,8652600.0,15.973370411778216
20639,matthew anderson,매튜 앤더슨,매튜안데르선,oil,canvas,True,False,False,False,1035000.0,13.849911984681606
20641,joong hyun park,박중현,박중현,oil,canvas,True,False,False,False,1320660.0,14.093642169604204
20642,joong hyun park,박중현,박중현,oil,canvas,True,False,False,False,1320660.0,14.093642169604204
20643,haeyoun hwang,황해윤,황해윤,acrylic,canvas,True,False,False,False,6499800.0,15.687281965161716
20644,haeyoun hwang,황해윤,황해윤,acrylic,canvas,True,False,False,False,6361800.0,15.665821914141944
20647,dagyeong yun,윤다그영,윤다그영,mixed_media,canvas,True,False,False,False,6734400.0,15.722739276998444
20648,matthew anderson,매튜 앤더슨,매튜안데르선,oil,canvas,True,False,False,False,5892600.0,15.58920788437392
20649,matthew anderson,매튜 앤더슨,매튜안데르선,oil,canvas,True,False,False,False,1035000.0,13.849911984681606
20650,matthew anderson,매튜 앤더슨,매튜안데르선,oil,canvas,True,False,False,False,1035000.0,13.849911984681606
20651,matthew anderson,매튜 앤더슨,매튜안데르선,oil,canvas,True,False,False,False,1035000.0,13.849911984681606
20652,matthew anderson,매튜 앤더슨,매튜안데르선,oil,canvas,True,False,False,False,1035000.0,13.849911984681606
20653,hyeryeon jung,정혜련,정혜련,painting_material,paper,True,False,False,False,2746200.0,14.825728695869788
