history_k,n,warm_lite_MdAPE,warm_lite_MAPE,warm_lite_p95_APE,cold_MdAPE,cold_MAPE,cold_p95_APE,delta_MdAPE_vs_cold,delta_MAPE_vs_cold,delta_p95_APE_vs_cold
1,621,0.12067671528745148,0.3414761644175067,0.9558808676542987,0.5608173485471565,0.8460078678172301,2.2368970326987134,-0.440140633259705,-0.5045317033997234,-1.2810161650444147
2,489,0.11837474216399156,0.270703846360181,0.8779117474056815,0.5691591634310229,1.3828935465000898,3.222386893313625,-0.45078442126703133,-1.1121897001399088,-2.3444751459079436
3,324,0.10598130700572855,0.2541022588106556,0.7141717313841413,0.5073878548937238,0.8839146265155671,2.7274583456084853,-0.4014065478879953,-0.6298123677049114,-2.013286614224344
4,513,0.09226335943552093,0.25571922438567785,0.7883721654822324,0.5122207669814312,0.8741961498909335,3.0849108187817116,-0.4199574075459102,-0.6184769255052557,-2.2965386532994794
