split,_track6_row_id,artist_key,price_krw,ln_price_krw,width_cm,height_cm,depth_cm,area_cm2,log_area,aspect_ratio,has_depth,is_3d_candidate,medium_category,support_category,size_bucket,medium_support_bucket
train,0,eun hye seo,386400.0,12.8646283813205,15.0,20.0,1.7,300.0,5.703782474656201,1.3333333333333333,True,False,mixed_media,canvas,q1,mixed_media__canvas
train,1,eun hye seo,19182000.0,16.769482897270034,240.9,116.8,4.0,28137.12,10.244844980014951,2.0625,True,False,mixed_media,canvas,q5,mixed_media__canvas
train,2,mihyun kim,1080540.0,13.892971474142051,45.5,45.5,3.0,2070.25,7.63542465191381,1.0,True,False,oil,canvas,q2,oil__canvas
train,3,jooha sim,647220.0,13.38044154659753,22.0,27.3,2.5,600.6,6.39792915554923,1.240909090909091,True,False,mixed_media,paper,q1,mixed_media__paper
train,4,eun hye seo,1462800.0,14.195862965257364,41.0,53.0,2.0,2173.0,7.683863980256429,1.2926829268292683,True,False,mixed_media,canvas,q2,mixed_media__canvas
train,5,wondeuk cho,2754480.0,14.82873923502266,60.0,60.0,4.0,3600.0,8.1886891244442,1.0,True,False,mixed_media,canvas,q3,mixed_media__canvas
train,6,eun hye seo,400200.0,12.89971970113177,15.0,20.0,1.6,300.0,5.703782474656201,1.3333333333333333,True,False,mixed_media,canvas,q1,mixed_media__canvas
train,7,eun hye seo,16836000.0,16.6390300088726,291.0,90.0,4.0,26190.0,10.173132937501755,3.2333333333333334,True,False,mixed_media,canvas,q5,mixed_media__canvas
train,8,jooha sim,10833000.0,16.198107588927705,180.0,120.0,2.5,21600.0,9.980448593672255,1.5,True,False,mixed_media,canvas,q5,mixed_media__canvas
train,9,baek hwa,1193700.0,13.992568285083127,40.6,63.5,2.0,2578.1,7.8548079725063324,1.564039408866995,True,False,acrylic,canvas,q3,acrylic__canvas
train,10,ro un lee,357420.0,12.786666839850788,53.0,41.0,2.0,2173.0,7.683863980256429,1.2926829268292683,True,False,mixed_media,canvas,q2,mixed_media__canvas
train,11,sojung kim,2380500.0,14.68282110761671,61.0,61.0,3.0,3721.0,8.221747728346623,1.0,True,False,mixed_media,fabric,q3,mixed_media__fabric
train,12,hyeyune choi,4678200.0,15.358423978525746,75.5,79.0,4.0,5964.5,8.693580508722,1.0463576158940395,True,False,mixed_media,fabric,q4,mixed_media__fabric
train,14,rreonsu choi,3010276.0,14.917542326873548,90.9,72.7,4.0,6608.43,8.796101385722906,1.250343878954608,True,False,oil,canvas,q4,oil__canvas
train,16,yujin l,6270720.0,15.651401738552238,116.8,91.0,2.5,10628.8,9.271322576910975,1.2835164835164834,True,False,acrylic,canvas,q5,acrylic__canvas
train,17,rakeum rhee,10639800.0,16.180112244708624,74.0,142.0,4.0,10508.0,9.259892150805433,1.9189189189189189,True,False,mixed_media,paper,q5,mixed_media__paper
train,18,kyeonghoon oh,546480.0,13.21125298940573,20.0,20.0,2.0,400.0,5.991464547107982,1.0,True,False,acrylic,panel,q1,acrylic__panel
train,19,marina lyu,1214400.0,14.009760685623505,65.0,90.9,5.0,5908.5,8.68414727107907,1.3984615384615386,True,False,mixed_media,canvas,q4,mixed_media__canvas
train,20,wondeuk cho,13151400.0,16.3920387747995,162.3,130.3,3.0,21147.69,9.959285958651344,1.2455871066768995,True,False,mixed_media,canvas,q5,mixed_media__canvas
train,21,eun hye seo,1157820.0,13.962049484618456,45.5,38.0,2.0,1729.0,7.455298485683291,1.1973684210526316,True,False,mixed_media,canvas,q2,mixed_media__canvas
train,22,junsung chang,4140000.0,15.236206345801495,60.7,60.7,2.0,3684.49,8.211887396130905,1.0,True,False,oil,linen,q3,oil__linen
train,23,e eun seo,688620.0,13.442444873902769,45.5,38.0,2.0,1729.0,7.455298485683291,1.1973684210526316,True,False,mixed_media,canvas,q2,mixed_media__canvas
train,24,junsung chang,30360000.0,17.228636510491704,217.9,91.9,2.5,20025.01,9.904737271312216,2.371055495103373,True,False,oil,linen,q5,oil__linen
train,25,junsung chang,30360000.0,17.228636510491704,217.9,91.9,2.5,20025.01,9.904737271312216,2.371055495103373,True,False,oil,linen,q5,oil__linen
train,26,junsung chang,26220000.0,17.082033036299826,218.0,91.9,2.5,20034.2,9.90519609215073,2.372143634385201,True,False,oil,linen,q5,oil__linen
train,27,junsung chang,5782200.0,15.570294791067434,72.6,90.9,2.5,6599.34,8.794724923014183,1.2520661157024795,True,False,oil,linen,q4,oil__linen
train,28,junsung chang,4140000.0,15.236206345801495,60.7,60.7,2.0,3684.49,8.211887396130905,1.0,True,False,oil,linen,q3,oil__linen
train,29,junsung chang,5796000.0,15.57267858242271,72.6,90.9,2.5,6599.34,8.794724923014183,1.2520661157024795,True,False,oil,linen,q4,oil__linen
train,30,junsung chang,4140000.0,15.236206345801495,60.7,60.7,2.0,3684.49,8.211887396130905,1.0,True,False,oil,linen,q3,oil__linen
train,31,junsung chang,26406300.0,17.089113176011054,241.0,100.1,2.8,24124.1,10.09096661981183,2.4075924075924076,True,False,oil,linen,q5,oil__linen
train,32,junsung chang,5796000.0,15.57267858242271,72.6,90.9,2.5,6599.34,8.794724923014183,1.2520661157024795,True,False,oil,linen,q4,oil__linen
train,33,junsung chang,26218620.0,17.08198040333579,241.0,100.1,2.8,24124.1,10.09096661981183,2.4075924075924076,True,False,oil,linen,q5,oil__linen
train,34,junsung chang,5796000.0,15.57267858242271,72.6,90.9,2.5,6599.34,8.794724923014183,1.2520661157024795,True,False,oil,linen,q4,oil__linen
train,35,eun hye seo,5299200.0,15.483066423733025,73.0,100.0,4.0,7300.0,8.895629627136483,1.36986301369863,True,False,mixed_media,canvas,q4,mixed_media__canvas
train,36,eun hye seo,1035000.0,13.849911984681606,20.0,40.0,4.5,800.0,6.684611727667927,2.0,True,False,mixed_media,canvas,q1,mixed_media__canvas
train,37,karis choi,14400300.0,16.48275959766255,190.0,89.9,4.1,17081.0,9.74572201363806,2.1134593993325916,True,False,acrylic,linen,q5,acrylic__linen
train,40,hee ra kim,9066600.0,16.020107889629905,116.8,90.9,2.5,10617.12,9.27022307157756,1.2849284928492848,True,False,ink,linen,q5,ink__linen
train,41,e eun seo,1585620.0,14.276486056000008,72.5,60.5,2.2,4386.25,8.386229926897425,1.1983471074380163,True,False,mixed_media,canvas,q3,mixed_media__canvas
train,42,karis choi,12351000.0,16.329247589420152,145.0,145.0,4.1,21025.0,9.953467484841148,1.0,True,False,acrylic,linen,q5,acrylic__linen
train,44,karis choi,7700400.0,15.856782833526609,100.1,100.1,4.1,10020.009999999998,9.212339372642347,1.0,True,False,acrylic,linen,q5,acrylic__linen
train,45,karis choi,9984300.0,16.116524417216834,119.9,119.9,4.1,14376.010000000002,9.573316124066936,1.0,True,False,acrylic,linen,q5,acrylic__linen
train,46,karis choi,6182400.0,15.637217103560282,89.9,89.9,4.1,8082.010000000001,8.99739588295515,1.0,True,False,acrylic,linen,q4,acrylic__linen
train,47,suhyang seo,4084800.0,15.222783325469356,90.9,65.1,2.5,5917.59,8.685684550397957,1.3963133640552998,True,False,acrylic,linen,q4,acrylic__linen
train,48,jiwon jang,3760500.0,15.140062485248595,72.7,90.9,2.5,6608.43,8.796101385722906,1.250343878954608,True,False,acrylic,linen,q4,acrylic__linen
train,49,eun hye seo,7038000.0,15.766834596863667,97.0,130.3,3.0,12639.1,9.444550462634185,1.343298969072165,True,False,mixed_media,canvas,q5,mixed_media__canvas
train,50,jiwon jang,3760500.0,15.140062485248595,72.7,90.9,2.5,6608.43,8.796101385722906,1.250343878954608,True,False,acrylic,linen,q4,acrylic__linen
train,51,e eun seo,619620.0,13.336861665893505,30.0,30.0,1.4,900.0,6.802394763324311,1.0,True,False,mixed_media,canvas,q1,mixed_media__canvas
train,52,jiwon jang,3760500.0,15.140062485248595,72.7,90.9,2.5,6608.43,8.796101385722906,1.250343878954608,True,False,acrylic,linen,q4,acrylic__linen
train,53,jiwon jang,3760500.0,15.140062485248595,72.7,90.9,2.5,6608.43,8.796101385722906,1.250343878954608,True,False,acrylic,linen,q4,acrylic__linen
train,54,eun hye seo,5506200.0,15.52138528803516,91.0,91.0,4.0,8281.0,9.0217190130337,1.0,True,False,mixed_media,canvas,q4,mixed_media__canvas
train,55,eun hye seo,1179900.0,13.98094024708801,40.0,50.0,2.1,2000.0,7.600902459542082,1.25,True,False,mixed_media,canvas,q2,mixed_media__canvas
train,57,eun hye seo,9232200.0,16.038207931273526,145.5,90.0,4.0,13095.0,9.479985756941812,1.6166666666666667,True,False,mixed_media,canvas,q5,mixed_media__canvas
train,59,sunny jung,1295820.0,14.074654257359514,53.0,40.9,2.0,2167.7,7.681421976600878,1.2958435207823962,True,False,mixed_media,canvas,q2,mixed_media__canvas
train,60,sunny jung,805920.0,13.599739760979478,31.8,31.8,2.0,1011.24,6.918932579572262,1.0,True,False,mixed_media,canvas,q1,mixed_media__canvas
train,61,suhyang seo,2421900.0,14.700062914051216,53.0,65.1,1.5,3450.2999999999997,8.146216462766645,1.228301886792453,True,False,acrylic,linen,q3,acrylic__linen
train,62,영곤 김,4163460.0,15.241857017310313,53.1,72.6,2.5,3855.06,8.257141850078643,1.367231638418079,True,False,mixed_media,canvas,q3,mixed_media__canvas
train,63,영곤 김,3092580.0,14.944516251952177,45.5,67.6,3.5,3075.7999999999997,8.031320309005823,1.4857142857142855,True,False,mixed_media,canvas,q3,mixed_media__canvas
train,66,영곤 김,2151420.0,14.581638647209028,40.9,52.8,3.6,2159.52,7.677641253760972,1.2909535452322738,True,False,mixed_media,canvas,q2,mixed_media__canvas
train,67,hee ra kim,22673400.0,16.936702989182564,273.0,116.8,1.8,31886.4,10.369934865579086,2.337328767123288,True,False,mixed_media,linen,q5,mixed_media__linen
train,68,eun hye seo,6196200.0,15.63944675888755,91.0,91.0,4.0,8281.0,9.0217190130337,1.0,True,False,mixed_media,canvas,q4,mixed_media__canvas
train,70,eun hye seo,6196200.0,15.63944675888755,72.7,116.8,4.0,8491.36,9.0468044549336,1.6066024759284732,True,False,mixed_media,canvas,q4,mixed_media__canvas
train,71,eun hye seo,3767400.0,15.141895666330257,73.0,91.0,3.0,6643.0,8.80131894766524,1.2465753424657535,True,False,mixed_media,canvas,q4,mixed_media__canvas
train,75,eun hye seo,5823600.0,15.577429185181307,116.8,72.7,2.7,8491.36,9.0468044549336,1.6066024759284732,True,False,mixed_media,canvas,q4,mixed_media__canvas
train,76,eun hye seo,11024820.0,16.215659652633292,219.0,91.0,3.0,19929.0,9.899931236333352,2.4065934065934065,True,False,mixed_media,canvas,q5,mixed_media__canvas
train,77,zeyah ren,1483500.0,14.209914718713014,50.0,50.0,2.7,2500.0,7.824046010856292,1.0,True,False,oil,linen,q3,oil__linen
train,78,lightground myungkyu kang,106211700.0,18.480944830195423,180.0,180.0,4.0,32400.0,10.38591370178042,1.0,True,False,mixed_media,linen,q5,mixed_media__linen
train,79,lightground myungkyu kang,104949000.0,18.468985075838688,193.0,97.0,2.8,18721.0,9.837401167408268,1.9896907216494848,True,False,oil,linen,q5,oil__linen
train,80,injung kwon,2490900.0,14.728154648918231,81.0,100.1,3.0,8108.099999999999,9.000618840993614,1.2358024691358025,True,False,oil,canvas,q4,oil__canvas
train,81,eun hye seo,386400.0,12.8646283813205,20.0,15.0,1.7,300.0,5.703782474656201,1.3333333333333333,True,False,mixed_media,canvas,q1,mixed_media__canvas
train,82,eun hye seo,412620.0,12.930282351541935,20.0,20.0,1.6,400.0,5.991464547107982,1.0,True,False,mixed_media,canvas,q1,mixed_media__canvas
train,83,eun hye seo,412620.0,12.930282351541935,20.0,20.0,3.5,400.0,5.991464547107982,1.0,True,False,mixed_media,canvas,q1,mixed_media__canvas
train,84,eun hye seo,4414620.0,15.300432318100768,100.0,65.0,4.0,6500.0,8.779557455883728,1.5384615384615383,True,False,mixed_media,canvas,q4,mixed_media__canvas
train,85,e eun seo,4112400.0,15.2295173576507,130.5,97.0,2.5,12658.5,9.44608420526613,1.345360824742268,True,False,mixed_media,canvas,q5,mixed_media__canvas
train,86,e eun seo,861120.0,13.665989146520678,53.0,41.0,2.0,2173.0,7.683863980256429,1.2926829268292683,True,False,mixed_media,canvas,q2,mixed_media__canvas
train,87,lynn yang,5444100.0,15.510043011431224,117.0,91.0,3.0,10647.0,9.273033441314606,1.2857142857142858,True,False,acrylic,canvas,q5,acrylic__canvas
train,88,lynn yang,5444100.0,15.510043011431224,91.0,117.0,3.0,10647.0,9.273033441314606,1.2857142857142858,True,False,acrylic,canvas,q5,acrylic__canvas
train,89,jaeho jung,3077400.0,14.939595642605417,38.0,46.0,4.0,1748.0,7.466227556215481,1.2105263157894737,True,False,oil,linen,q2,oil__linen
train,90,jaeho jung,6085800.0,15.621468746592145,61.0,73.0,4.0,4453.0,8.401333305321703,1.1967213114754098,True,False,oil,linen,q3,oil__linen
train,92,jaeho jung,2773800.0,14.835728779204372,35.0,35.0,5.0,1225.0,7.110696122978827,1.0,True,False,oil,linen,q1,oil__linen
train,93,jaeho jung,8259300.0,15.926850396143324,73.0,91.0,3.0,6643.0,8.80131894766524,1.2465753424657535,True,False,oil,linen,q4,oil__linen
train,95,jaeho jung,3077400.0,14.939595642605417,38.0,46.0,4.0,1748.0,7.466227556215481,1.2105263157894737,True,False,oil,linen,q2,oil__linen
train,97,eun hye seo,2137620.0,14.57520361856812,53.0,72.7,2.0,3853.1,8.256633298091595,1.3716981132075472,True,False,mixed_media,canvas,q3,mixed_media__canvas
train,98,e eun seo,1366200.0,14.127543721279888,60.6,72.7,2.5,4405.62,8.390636277614743,1.1996699669966997,True,False,mixed_media,canvas,q3,mixed_media__canvas
train,99,eun hye seo,552000.0,13.221303325259232,24.5,33.5,2.0,820.75,6.710218556381702,1.3673469387755102,True,False,mixed_media,canvas,q1,mixed_media__canvas
train,101,eun hye seo,550620.0,13.218800195041114,24.2,33.4,2.0,808.28,6.694908533145296,1.3801652892561984,True,False,mixed_media,canvas,q1,mixed_media__canvas
train,102,eun hye seo,386400.0,12.8646283813205,15.0,20.0,1.2,300.0,5.703782474656201,1.3333333333333333,True,False,mixed_media,canvas,q1,mixed_media__canvas
train,103,lightground myungkyu kang,72905400.0,18.10467326830961,193.5,59.5,2.7,11513.25,9.35125382502142,3.2521008403361344,True,False,oil,canvas,q5,oil__canvas
train,104,eun hye seo,13784820.0,16.4390785446834,162.2,130.3,2.8,21134.66,9.958669625812112,1.244819646968534,True,False,mixed_media,canvas,q5,mixed_media__canvas
train,105,eun hye seo,1378620.0,14.136593556799804,41.0,53.0,1.8,2173.0,7.683863980256429,1.2926829268292683,True,False,mixed_media,canvas,q2,mixed_media__canvas
train,106,eun hye seo,1364820.0,14.126533109773964,45.5,53.0,2.5,2411.5,7.788004239509027,1.164835164835165,True,False,mixed_media,canvas,q2,mixed_media__canvas
train,107,mihyun kim,792120.0,13.582468174470815,31.9,31.9,2.8,1017.61,6.925212019581598,1.0,True,False,oil,canvas,q1,oil__canvas
train,109,e eun seo,4111020.0,15.229181730864532,162.2,112.1,5.0,18182.62,9.808221471759428,1.446922390722569,True,False,mixed_media,canvas,q5,mixed_media__canvas
train,110,eun hye seo,688620.0,13.442444873902769,20.0,30.0,1.8,600.0,6.396929655216146,1.5,True,False,mixed_media,canvas,q1,mixed_media__canvas
