experiment_id,candidate,scope,split,policy,RMSE_log,MdAPE,MAPE,p95_APE,Within_30,Within_50,model,feature_strategy,n_features,quantile_width_median,price_range_ratio_median,residual_scale,residual_clip,guard_rate,width_quantile,width_threshold,q50_q40_gap,require_meta_sparse
PP-CMETA4,artwork_only,cold,validation,strict_user_meta_lgbq_base_q50,0.6789094637132697,0.3961895303483008,0.663304270147743,1.791011077344751,0.34362513621503815,0.6371231383944788,lightgbm,작품 정보만,12,1.5375144652291688,4.653010666394282,,,,,,,
PP-CMETA4,artwork_only,cold,test,strict_user_meta_lgbq_base_q50,0.9410835894511871,0.4823116729652492,1.242416940234647,4.380571561554383,0.2862213617295902,0.516295579219103,lightgbm,작품 정보만,12,1.6311220813477814,5.109604895420887,,,,,,,
PP-CMETA4,user_meta_core,cold,validation,strict_user_meta_lgbq_base_q50,0.6665306559682069,0.3942588180949266,0.5612156908989102,1.4726245364928565,0.3901198692335634,0.6098801307664367,lightgbm,작품+사용자 입력 core 작가 메타,26,1.093027132444453,2.983291235293993,,,,,,,
PP-CMETA4,user_meta_core,cold,test,strict_user_meta_lgbq_base_q50,0.8966037243669515,0.4693942302728333,1.1426815939004398,3.0724158777450694,0.3123588254275573,0.5279122297515327,lightgbm,작품+사용자 입력 core 작가 메타,26,1.5070999670609702,4.51362214285232,,,,,,,
PP-CMETA4,user_meta_core_bucket,cold,validation,strict_user_meta_lgbq_base_q50,0.6581827384451252,0.3929745136898199,0.5550962711835191,1.4229484992751078,0.4031965128950236,0.6193243734108246,lightgbm,작품+사용자 입력 core 작가 메타+메타 bucket,34,1.0880024046144001,2.968338606703544,,,,,,,
PP-CMETA4,user_meta_core_bucket,cold,test,strict_user_meta_lgbq_base_q50,0.8946266350352439,0.46148110923095575,1.1267976664956894,3.0898626180699136,0.31719909648273636,0.5288802839625686,lightgbm,작품+사용자 입력 core 작가 메타+메타 bucket,34,1.509943129860675,4.5264733658233585,,,,,,,
PP-CMETA4,existing_meta_full,cold,validation,strict_user_meta_lgbq_base_q50,0.6577035277306748,0.38213306961440474,0.5470607782250557,1.4536482939710922,0.41772611696331274,0.6345804576825281,lightgbm,작품+기존 작가 메타 전체,32,1.1066160430998622,3.0241076102971416,,,,,,,
PP-CMETA4,existing_meta_full,cold,test,strict_user_meta_lgbq_base_q50,0.890215389162921,0.4771503861292022,1.081916336779535,3.030530534950364,0.30009680542110356,0.5256534365924492,lightgbm,작품+기존 작가 메타 전체,32,1.4952159197041421,4.460299515434544,,,,,,,
PP-CMETA4,existing_meta_full_bucket,cold,validation,strict_user_meta_lgbq_base_q50,0.6566065946154483,0.3852285773570963,0.5491678356436918,1.44399388832644,0.4071921540138031,0.6309480566654558,lightgbm,작품+기존 작가 메타 전체+메타 bucket,40,1.0944583839735262,2.9875641325020976,,,,,,,
PP-CMETA4,existing_meta_full_bucket,cold,test,strict_user_meta_lgbq_base_q50,0.885385118958636,0.4752521274541742,1.0679895518076612,2.9614382206316994,0.30074217489512745,0.5327525008067119,lightgbm,작품+기존 작가 메타 전체+메타 bucket,40,1.5340614063180542,4.63697125490288,,,,,,,
PP-CMETA4,manual_profile_context,cold,validation,strict_user_meta_lgbq_base_q50,0.6537869670232466,0.3862585798724584,0.581437098958518,1.5391438094155183,0.3617871413003996,0.6378496185978932,lightgbm,작품+사용자 입력 작가 메타+전시/갤러리 문맥,56,1.1610109253266074,3.19315969101269,,,,,,,
PP-CMETA4,manual_profile_context,cold,test,strict_user_meta_lgbq_base_q50,0.8851018471127369,0.4506946849825068,1.1071793867308795,3.7238052058525284,0.319135204904808,0.547595998709261,lightgbm,작품+사용자 입력 작가 메타+전시/갤러리 문맥,56,1.506249297392479,4.509784174053631,,,,,,,
PP-CMETA4,manual_profile_context_bucket,cold,validation,strict_user_meta_lgbq_base_q50,0.6463695579353448,0.3825398788892465,0.5724027433995846,1.5890278121950354,0.38467126770795496,0.6367598982927716,lightgbm,작품+사용자 입력 작가 메타+전시/갤러리 문맥+bucket,68,0.9847057135109534,2.6770239565072123,,,,,,,
PP-CMETA4,manual_profile_context_bucket,cold,test,strict_user_meta_lgbq_base_q50,0.892918788153237,0.4494825230609308,1.1307192798943708,3.991237154581576,0.31461761858664083,0.5450145208131656,lightgbm,작품+사용자 입력 작가 메타+전시/갤러리 문맥+bucket,68,1.4972842212994895,4.469534306912913,,,,,,,
PP-CMETA4,existing_meta_full_lgb_residual_clip,cold,validation,strict_user_meta_lgb_residual_clip,0.6604080816784487,0.3705357636972488,0.5429164966361685,1.420557483984017,0.4184525971667272,0.6338539774791137,lightgbm_quantile_plus_lgb_residual,작품+기존 작가 메타 전체,35,,,0.75,0.1,,,,,
PP-CMETA4,existing_meta_full_lgb_residual_clip,cold,test,strict_user_meta_lgb_residual_clip,0.8866529576293506,0.4739127760193008,1.071422125187705,3.1112507359393673,0.29557921910293644,0.5295256534365924,lightgbm_quantile_plus_lgb_residual,작품+기존 작가 메타 전체,35,,,0.75,0.1,,,,,
