artist_key,n_works,raw_coef,shrunk_coef
yejoo lee,13,6.627421568300127,6.652086729506271
yeju kwon,12,6.277422242256744,6.406479273546598
yejun ryu,2,8.148478770416183,7.125434040577657
yelim park,20,5.87311116573305,6.041732162314889
yeol lee,2,9.024547895832798,7.375739504982404
yeon do kim,5,5.831121897032803,6.273669022837525
yeon gyeong seo,11,6.85036510553685,6.808443556507287
yeon hwa kwak,8,6.361827920539956,6.498131085194682
yeon yeon jung,19,6.55052179540354,6.58504145232827
yeongok kim,217,6.871621660622132,6.868121536478442
yeongyeong seo,1,5.804893785110089,6.564329088053554
yeonhong kim,94,5.994136620935952,6.030605283951421
yeonhui lee,5,6.547492966150029,6.631854557396139
yeonjae chung,6,5.831960555478869,6.233894916007676
yeonkyung park,8,6.7400089982630575,6.730857902255053
yeonsoo kim,4,6.385423015517674,6.569196978364658
yeonsoo kim 김연수,13,6.73108573561953,6.726955294792507
yeounwoo yang,6,6.938133689666308,6.837262080109915
yeowoon kim,1,7.164579363074013,6.790943351047541
yerang hwang,19,6.875772233129086,6.842531382194328
yerim choi,5,4.660301244537571,5.688258696589909
yerim lee,3,6.845566637953915,6.764722582134122
yerin kim,6,4.557782778051649,5.5388888555928295
yerin shin 신예린,5,6.882549071427842,6.799382610035044
yerin yu,2,5.890695119384973,6.480352997425882
yesang lee,3,6.281661286801203,6.553258075451855
yeseul cheon,4,7.167257206674248,6.9166788411009135
yesung and benjamin prevost kim,19,7.747853505489711,7.532929056146489
yeun song,5,8.095443822068262,7.405829985355254
yewon choi,5,7.144584425988626,6.930400287315436
yewon seo,5,5.692397529789638,6.204306839215942
yihyun kim,3,4.700436266764791,5.960298692938201
yim yena,1,6.687380978120737,6.711410286888661
yiseo,12,5.210588696361922,5.6534202999737815
yislow,21,6.45449369753069,6.504824938129066
yk jang,5,6.514699675250501,6.615457911946374
yohahn diko,79,5.9902430130585245,6.033455699700412
yomahon,6,5.797236612980219,6.214954583735686
