,,,,,,,,,,,,,
,idx,재료(지지체),도구(매체),건수,,idx,수집 재료,건수,난트 기준 재료(지지체),난트 기준 도구(매체),비고,비고2,비고3
,,,,,,1708,lithograph(사후판화),2,종이,석판,,,
,,,,,,1709,"oil, acrylic and ink on canvas",2,캔버스,"유채, 아크릴릭, 잉크",,,
,,,,,,1710,"charcoal, acrylic and UV-varnish on canvas, speaker",2,캔버스,아크릴,,학습 제외,
,,,,,,1711,acrylic and color-stone powder on canvas,2,캔버스,"아크릴릭, 석채",,,
,,,,,,1712,"digital print mounted on aluminum, diasec",2,종이,"디지털 프린트, 디아섹",,,
,,,,,,1713,polystone,2,없음,조각,,,
,,,,,,1714,color and oil pastel on Korean paper,2,한지,"채색, 오일 파스텔",,,
,,,,,,1715,plaster,2,기타,기타,분류 미매칭,학습 제외 ,
,,,,,,1716,resin,2,없음,조각,,,
,,,,,,1717,zinc alloy,2,기타,기타,분류 미매칭,학습 제외 ,
,,,,,,1718,"etching, drypoint and aquatint",2,종이,"에칭, 드라이포인트, 아쿼틴트",,,
,,,,,,1719,tapestry,2,태피스트리,없음,,,
,,,,,,1720,"inkjet on lenticular acrylic, aluminum frame",2,금속,아크릴,,학습 제외,
,,,,,,1721,heliogravure,2,종이,포토그라비아,분류 미매칭,,
,,,,,,1722,collage and silkscreen on aluminum,2,금속,실크스크린,,,
,,,,,,1723,coal and mixed media on canvas,2,캔버스,혼합재료,,,
,,,,,,1724,mixed media with Korean paper mounted on canvas,2,캔버스,혼합재료,,,
,,,,,,1725,8-color inkjet print on cotton-fiber archival paper,2,종이,디지털 프린트,,,
,,,,,,1726,monoprint with engraving and embossment on Twinrocker handmade paper,2,종이,기타,분류 미매칭,,
,,,,,,1727,cloisonne enamel,2,기타,기타,분류 미매칭,학습 제외,
,,,,,,1728,pen on canvas,2,캔버스,펜,,,
,,,,,,1729,linocut,2,종이,리노컷,,,
,,,,,,1730,embossed paper,2,종이,기타,분류 미매칭,,
,,,,,,1731,"lithographs, embossing",2,종이,"석판, 엠보싱",,,
,,,,,,1732,slikscreen,2,종이,실크스크린,분류 미매칭,,
,,,,,,1733,chinese ink and gold powder on canvas,2,캔버스,수묵,,,
,,,,,,1734,"film, plastic",2,기타,기타,분류 미매칭,학습 제외,
,,,,,,1735,"Pochoir, printed on paper",2,종이,기타,분류 미매칭,,
,,,,,,1736,lithograph in 8 colors by Idem workshop and artist book in a box,2,종이,석판,,,
,,,,,,1737,pen and crayon on paper,2,종이,"펜, 오일 파스텔",,,
,,,,,,1738,"lithograph, aquatint",2,종이,"석판, 아쿼틴트",,,
,,,,,,1739,"mixed media(oil, gliter) on canvas",2,캔버스,혼합재료,,,
,,,,,,1740,Digital print on Fuji Crystal Archive Matte paper,2,종이,디지털 프린트,,,
,,,,,,1741,screenprint with cold stamped gold and silver foil,2,종이,"실크스크린, 금박, 은박",,,
,,,,,,1742,Giclée print,2,종이,지클레이 프린트,분류 미매칭,,
,,,,,,1743,lithograph on Rives BFK paper,2,종이,석판,,,
,,,,,,1744,oil and acrylic on canvas mounted on wooden tray,2,캔버스,"유채, 아크릴릭",,,
,,,,,,1745,"steel powder and pv adhesive on canvas, speaker",2,캔버스,기타,분류 미매칭,,
,,,,,,1746,best fiber on cotton,2,섬유,섬유,,학습 제외,
,,,,,,1747,mixed media on hot press cotton paper,2,종이,혼합재료,,,
,,,,,,1748,offset lithograph in colors on smooth wove paper,2,종이,오프셋 프린트,,,
,,,,,,1749,silkscreen print,2,종이,실크스크린,,,
,,,,,,1750,polyester plush,2,기타,기타,분류 미매칭,학습 제외,
,,,,,,1751,gouache gel on modeling made canvas,2,캔버스,수채,,,
,,,,,,1752,mixograph,2,종이,믹소그라피,분류 미매칭,,
,,,,,,1753,lambda inkjet print on glossy Fujicolor professional paper,2,종이,디지털 C-프린트,,,
,,,,,,1754,"lacquer painted on canvas, mother of pearl, pure gold leaf",2,캔버스,옻칠/래커,,,
,,,,,,1755,paint on wood,2,목재,기타,분류 미매칭,,
,,,,,,1756,pigment print on paper & acrylicframe,2,종이,디지털 피그먼트 프린트,,,
,,,,,,1757,embroidered on cotton,2,캔버스,자수,분류 미매칭,,
,,,,,,1758,oil color pencils on paper,2,종이,"유채, 색연필",,,
,,,,,,1759,lithography,2,종이,석판,,,
,,,,,,1760,"watercolor on paper, mixed media",2,종이,수채,,,
,,,,,,1761,lithograph in color,2,종이,석판,,,
,,,,,,1762,red earthenware clay,2,기타,기타,분류 미매칭,학습 제외,
,,,,,,1763,"etching, lithograph",2,종이,"에칭, 석판",,,
,,,,,,1764,"etching, collagraph",2,종이,"에칭, 콜라그래프",,,
,,,,,,1765,digital painting on paper,2,종이,디지털 페인팅 프린트,,,
,,,,,,1766,milk paint on wood,2,목재,기타,분류 미매칭,,
,,,,,,1767,"Ink on silk, Ink on paper",2,종이,수묵,,,
,,,,,,1768,"ink on paper, carved on wood",2,종이,수묵,,,
,,,,,,1769,"gold, silver, ink and color on paper",2,종이,수묵,,,
,,,,,,1770,frottage on canvas,2,캔버스,기타,분류 미매칭,,
,,,,,,1771,gouache and pencil on paper,2,종이,수채,,,
,,,,,,1772,"iron, mixed media",2,금속,혼합재료,,,
,,,,,,1773,lambda print in aluminium frame,2,알루미늄 패널,디지털 C-프린트,,,
,,,,,,1774,paper stack on canvas,2,캔버스,기타,분류 미매칭,,
,,,,,,1775,"ink, color, collage on paper",2,종이,수묵,,,
,,,,,,1776,"oil pastel, watercolor on paper",2,종이,"수채, 오일 파스텔",,,
,,,,,,1777,acrylic on shaped canvas,2,캔버스,아크릴릭,,,
,,,,,,1778,digital painting on canvas,2,캔버스,디지털 페인팅 프린트,,,
,,,,,,1779,"lacquered wood, metal",2,목재,옻칠/래커,,,
,,,,,,1780,ink and color pencil on Korean paper,2,종이,수묵,,,
,,,,,,1781,sewing and ink on fabric,2,섬유,"자수, 수묵",,,
,,,,,,1782,porcelain painted in chrome,2,없음,도자,,,
,,,,,,1783,"oil, plastic on canvas mounted on panel",2,캔버스,유화,,학습 제외,
,,,,,,1784,"acrylic medium, black charcoal on canvas",2,캔버스,"아크릴릭, 목탄",,,
,,,,,,1785,oil and pencil on paper,2,종이,"유채, 연필",,,
,,,,,,1786,"color, ink on paper",2,종이,수묵,,,
,,,,,,1787,oil on wood skateboard,2,기타,유채,,학습 제외,
,,,,,,1788,screenprint in colors,2,종이,실크스크린,,,
,,,,,,1789,"lithograph, silkscreen",2,종이,"석판, 실크스크린",,,
,,,,,,1790,cibachrome photograph,2,종이,사이바크롬,,,
,,,,,,1791,silkscreen printed nylon,2,종이,실크스크린,,,
,,,,,,1792,"oil, gouache, acrylic on canvas",2,캔버스,"유채, 과슈, 아크릴릭",,,
,,,,,,1793,white porcelein,2,기타,기타,분류 미매칭,학습 제외,
,,,,,,1794,painted FRP sculptures,2,기타,기타,분류 미매칭,학습 제외,
,,,,,,1795,oil on canvas mounted on hardboard,2,캔버스,유채,,,
,,,,,,1796,"oil on canvas, wooden frame",2,캔버스,유채,,,
,,,,,,1797,color on FRP,2,플라스틱 패널,채색,,학습 제외,
,,,,,,1798,"soil, ink on canvas",2,캔버스,"수묵, 흙",,,
,,,,,,1799,aluminum etching,2,금속,에칭,,,
,,,,,,1800,polyester plush in Dior denim and suit with original presentation box,2,기타,기타,분류 미매칭,학습 제외,
,,,,,,1801,digital print on cotton,2,캔버스,디지털 프린트,,,
,,,,,,1802,photo screen decals and hand painting on powder-coated steel,2,금속,기타,분류 미매칭,,
,,,,,,1803,"oil, Korean paper, chunpo on linen",2,"캔버스, 비단",유채,,,
,,,,,,1804,screen print,2,종이,실크스크린,분류 미매칭,,
,,,,,,1805,silk screen on offset print,2,종이,"오프셋 프린트, 실크스크린",,,
,,,,,,1806,charcoal and pastel on paper,2,종이,"목탄, 파스텔",,,
,,,,,,1807,watercolor and ink on paper,2,종이,수채,,,
,,,,,,1808,color and ink on mulberry paper,2,종이,수묵,,,
,,,,,,1809,"캔버스에 아크릴 미디엄, 숯가루",2,캔버스,"아크릴릭, 숯가루",,,
,,,,,,1810,"silkscreen, embossing",2,종이,실크스크린,,,
,,,,,,1811,"fabric, acrylic on canvas, frame",2,캔버스,아크릴릭,,,
,,,,,,1812,캔버스에 마운트한 종이위에 유채,2,종이,유채,,,
,,,,,,1813,"aluminum wire mesh, thread, frame",2,금속,조각,,,
,,,,,,1814,etching and aquatint in colors,2,종이,"에칭, 아쿼틴트",,,
,,,,,,1815,종이에 잉크와 채색,2,종이,채색,,,
,,,,,,1816,필름,2,기타,기타,분류 미매칭,학습 제외,
,,,,,,1817,나무에 납화,2,목재,기타,분류 미매칭,,
,,,,,,1818,color on paper mounted on board,2,보드,채색,,,
,,,,,,1819,buncheong ware,2,기타,기타,분류 미매칭,학습 제외,
,,,,,,1820,"fiberglass, metal",2,기타,섬유,,학습 제외,
,,,,,,1821,종이에 색 돌가루,2,종이,기타,분류 미매칭,,
,,,,,,1822,"vinyl, multiple, with original case",2,없음,조각,,,
,,,,,,1823,painted FRP,2,기타,기타,분류 미매칭,학습 제외,
,,,,,,1824,Carved on red lacquered wood,2,없음,조각,,,
,,,,,,1825,plush doll,2,기타,기타,분류 미매칭,학습 제외,
,,,,,,1826,데님 꼴라쥬,2,기타,기타,분류 미매칭,학습 제외,
,,,,,,1827,"digital print, face mount",2,종이,"디지털 프린트, 디아섹",,,
,,,,,,1828,"Mixed media on wood, Red lacquered wood",2,목재,혼합재료,,,
,,,,,,1829,감지금니,2,기타,채색,,학습 제외,
,,,,,,1830,화강석,2,기타,기타,분류 미매칭,학습 제외,
,,,,,,1831,피그먼트 그래픽,2,종이,디지털 피그먼트 프린트,,,
,,,,,,1832,종이에 수채·크레용·실,2,종이,수채,,,
,,,,,,1833,캔버스에 오일 파스텔,2,캔버스,오일 파스텔,,,
,,,,,,1834,피그먼트 프린팅,2,종이,디지털 피그먼트 프린트,,,
,,,,,,1835,"지본채색, 지본수묵",2,종이,수묵,,,
,,,,,,1836,컬러 스크린 프린트,2,종이,실크스크린,,,
,,,,,,1837,종이에 사인펜·수채,2,종이,수채,,,
,,,,,,1838,견본인쇄,2,비단,인쇄/복제,,학습 제외,
,,,,,,1839,"지본묵서, 지본채색",2,종이,수묵,,,
,,,,,,1840,"종이에 펜, 수묵",2,종이,수묵,,,
,,,,,,1841,라미네이티드 지클레이 프린트,2,종이,지클레이 프린트,,,
,,,,,,1842,"지본수묵, 지본묵서",2,종이,수묵,,,
,,,,,,1843,폴리염화비닐,2,기타,기타,분류 미매칭,학습 제외,
,,,,,,1844,액자,2,기타,기타,분류 미매칭,학습 제외,
,,,,,,1845,연활자본,2,기타,기타,분류 미매칭,학습 제외,
,,,,,,1846,"견본채색, 지본채색",2,종이,채색,,,
,,,,,,1847,지본인두,2,종이,기타,분류 미매칭,,
,,,,,,1848,Acrylic on Canvas,2,캔버스,아크릴릭,,,
,,,,,,1849,Giclee on Archival Cold Press Cotton Rag,2,종이,지클레이 프린트,,,
,,,,,,1850,바이올린에 유채,2,기타,유화,,학습 제외,
,,,,,,1851,하드보드에 수채,2,목재,수채,,,
,,,,,,1852,Eight-Fold Folding Screen with Flower and Animals,2,기타,기타,분류 미매칭,학습 제외,
,,,,,,1853,Wooden Bowl,2,목재,기타,분류 미매칭,,
,,,,,,1854,Bamboo Brush Case with Long-Life Animals Design,2,기타,기타,분류 미매칭,학습 제외,
,,,,,,1855,Portrait,2,기타,기타,분류 미매칭,학습 제외,
,,,,,,1856,Seascape,2,기타,기타,분류 미매칭,학습 제외,
,,,,,,1857,Eight-Fold Folding Screen with Draft Poem,2,기타,기타,분류 미매칭,학습 제외,
,,,,,,1858,Bamboo,2,기타,기타,분류 미매칭,학습 제외,
,,,,,,1859,Ume Flower and Birds,2,기타,기타,분류 미매칭,학습 제외,
,,,,,,1860,Jeju Island Landscape,2,기타,기타,분류 미매칭,학습 제외,
,,,,,,1861,Corydon,2,기타,기타,분류 미매칭,학습 제외,
,,,,,,1862,Mountain,2,기타,기타,분류 미매칭,학습 제외,
,,,,,,1863,Flowers and Butterfly,2,기타,기타,분류 미매칭,학습 제외,
,,,,,,1864,One's Way Home,2,기타,기타,분류 미매칭,학습 제외,
,,,,,,1865,Oddly Shaped Stones and Peony,2,기타,기타,분류 미매칭,학습 제외,
,,,,,,1866,River Scene with Boat,2,기타,기타,분류 미매칭,학습 제외,
,,,,,,1867,Dharma,2,기타,기타,분류 미매칭,학습 제외,
,,,,,,1868,Autumn,2,기타,기타,분류 미매칭,학습 제외,
,,,,,,1869,Peony,2,기타,기타,분류 미매칭,학습 제외,
,,,,,,1870,Conjugal Portrait*,2,기타,기타,분류 미매칭,학습 제외,
,,,,,,1871,패널에,2,목재,기타,분류 미매칭,,
,,,,,,1872,지본금채,2,종이,기타,분류 미매칭,,
,,,,,,1873,종이에파스텔,2,종이,파스텔,,,
,,,,,,1874,하드보드에유채,2,보드,유채,,,
,,,,,,1875,피그먼트프린트,2,종이,디지털 피그먼트 프린트,,,
,,,,,,1876,종이에과슈,2,종이,수채,,,
,,,,,,1877,종이에아크릴,2,종이,아크릴릭,,,
,,,,,,1878,"종이에펜,채색",2,종이,채색,,,
,,,,,,1879,두방지에먹,2,종이,수묵,,,
,,,,,,1880,"종이에 아크릴, 과슈",2,종이,"아크릴릭, 과슈",,,
,,,,,,1881,동판,2,기타,기타,분류 미매칭,학습 제외,
,,,,,,1882,"인쇄, 종이에 목판인쇄",2,종이,목판,,,
,,,,,,1883,"종이에 수묵담채, 비단에 수묵",2,종이,수묵,,,
,,,,,,1884,"종이에 아크릴, 혼합",2,종이,"아크릴릭, 혼합재료",,,
,,,,,,1885,종이부조,2,종이,기타,분류 미매칭,,
,,,,,,1886,"종이에 채색, 펜",2,종이,채색,,,
,,,,,,1887,인쇄,2,종이,인쇄/복제,,학습 제외,
,,,,,,1888,캔버스위 부조에 혼합재료,2,캔버스,혼합재료,,,
,,,,,,1889,실크스크린 A.P,2,종이,실크스크린,,,
,,,,,,1890,"종이에 채색, 석채, 금니",2,종이,채색,,,
,,,,,,1891,닥종이에 혼합,2,종이,혼합재료,,,
,,,,,,1892,종이에 수묵필사,2,종이,수묵,,,
,,,,,,1893,"박에 각, 철",2,금속,기타,분류 미매칭,,
,,,,,,1894,"종이에 먹, 캔버스에 유채",2,캔버스,유화,,학습 제외,
,,,,,,1895,"두방지에 먹, 인주",2,종이,수묵,,,
,,,,,,1896,"종이에 아크릴, 수묵, 금니",2,종이,"아크릴릭, 수묵, 혼합재료",,,
,,,,,,1897,"비단에 수묵, 수묵담채",2,비단,수묵,,,
,,,,,,1898,에쿼틴트,2,종이,에쿼틴트,분류 미매칭,,
,,,,,,1899,캔버스위 마운트한 한지에 수묵,2,캔버스,수묵,,,
,,,,,,1900,천에 석채,2,캔버스,채색,,,
,,,,,,1901,"캔버스에 한지, 채색",2,"캔버스, 한지",채색,,,
,,,,,,1902,소나무판에 유채,2,패널,유채,,,
,,,,,,1903,합판에 혼합재료,2,패널,혼합재료,,,
,,,,,,1904,장지에 수묵,2,장지,수묵,,,
,,,,,,1905,하드보드지에 채색,2,목재,채색,,,
,,,,,,1906,백자에 청채,2,없음,도자,,,
,,,,,,1907,"종이에 탁본, 먹",2,종이,수묵,,,
,,,,,,1908,도자에 청채,2,없음,도자,,,
,,,,,,1909,종이에 먹·수묵,2,종이,수묵,,,
,,,,,,1910,종이에 먹·수묵담채,2,종이,수묵,,,
,,,,,,1911,종이에 수묵 외,2,종이,수묵,,,
,,,,,,1912,종이에 수묵담채·먹,2,종이,수묵,,,
,,,,,,1913,"비단에 수묵담채, 먹",2,비단,수묵,,,
,,,,,,1914,종이에 판화,2,종이,판화,,학습 제외,
,,,,,,1915,"돌에 조각, 채색",2,기타,채색,,학습 제외,
,,,,,,1916,함,2,기타,기타,분류 미매칭,학습 제외,
,,,,,,1917,비단에 담채,2,비단,채색,,,
,,,,,,1918,은지에 채색,2,금속지,채색,,,
,,,,,,1919,종이에 먹/족자,2,종이,수묵,,,
,,,,,,1920,"금속, 돌",2,금속,기타,분류 미매칭,,
,,,,,,1921,상아에 조각,2,기타,기타,분류 미매칭,학습 제외,
,,,,,,1922,비단에 수묵담채/ 족자,2,비단,수묵,,,
,,,,,,1923,비단에 수묵담채/ 병풍,2,비단,수묵,,,
,,,,,,1924,종이에 수묵/ 병풍,2,종이,수묵,,,
,,,,,,1925,종이에 먹/ 첩,2,종이,수묵,,,
,,,,,,1926,도자에 청화,2,없음,도자,,,
,,,,,,1927,삼국시대,2,기타,기타,분류 미매칭,학습 제외,
,,,,,,1928,캔버스에 색연필,2,캔버스,색연필,,,
,,,,,,1929,"캔버스에 아크릴, 형광성 아크릴, 롤어텍스",2,캔버스,"아크릴릭, 혼합재료",,,
,,,,,,1930,보드에 종이,2,보드,기타,분류 미매칭,학습 제외,
,,,,,,1931,"레진, 스틸, 끈, 캔버스에 아크릴",2,캔버스,아크릴릭,,학습 제외,
,,,,,,1932,"캔버스에 유채, 렌티큘러",2,캔버스,"유채, 렌티큘러 프린트",,,
,,,,,,1933,"무라노 유리, 스테인리스",2,없음,조각,,,
,,,,,,1934,"캔버스에 아크릴, 나무",2,캔버스,아크릴,,학습 제외,
,,,,,,1935,"종이에 과슈, 잉크",2,종이,수채,,,
,,,,,,1936,"캔버스에 아크릴, 형광성 아크릴, 메탈릭 아크릴, 진주광택 아크릴, 롤어텍스",2,캔버스,아크릴,,학습 제외,
,,,,,,1937,카드보드에 색연필,2,보드,색연필,,,
,,,,,,1938,"종이 콜라주에 유채, 혼합재료",2,종이,"유채, 종이 콜라주, 혼합재료",,,
,,,,,,1939,"마포 위 한지에 먹, 아크릴",2,"캔버스, 한지",아크릴릭,,,
,,,,,,1940,코튼에 혼합재료,2,캔버스,혼합재료,,,
,,,,,,1941,"캔버스에 한지부조, 혼합재료",2,캔버스,혼합재료,,,
,,,,,,1942,"오프셋 석판화, 실크스크린, 금박, 핸드페인팅",2,종이,"오프셋 프린트, 실크스크린",,,
,,,,,,1943,보드에 아크릴,2,보드,아크릴릭,,,
,,,,,,1944,플렉시글라스에 폴리에스터,2,아크릴 패널,기타,분류 미매칭,학습 제외,
,,,,,,1945,"나무에 아크릴, 못",2,목재,아크릴,,학습 제외,
,,,,,,1946,"종이에 색연필, 혼합재료",2,종이,"색연필, 혼합재료",,,
,,,,,,1947,캔버스에 유채 (diptych),2,캔버스,유채,,,
,,,,,,1948,"석판화, 크레용",2,종이,"석판, 오일 파스텔",,,
,,,,,,1949,"물푸레나무, 참죽나무",2,목재,기타,분류 미매칭,,
,,,,,,1950,지도에 아크릴,2,인쇄물,아크릴릭,,,
,,,,,,1951,"잡지에 볼펜, 연필",2,인쇄물,"펜, 연필",,,
,,,,,,1952,"캔버스에 스텐실, 혼합재료",2,캔버스,"스텐실, 혼합재료",,,
,,,,,,1953,플렉시글라스에 유채,2,아크릴 패널,유채,,,
,,,,,,1954,이탈리아 리넨에 유채,2,캔버스,유채,,,
,,,,,,1955,석판화 인쇄,2,종이,석판,,,
,,,,,,1956,"캔버스에 유채, 금박",2,캔버스,"유채, 금박",,,
,,,,,,1957,"석판화, 스크린프린트, 에칭, 아쿼틴트, 메조틴트, 엠보싱",2,종이,"실크스크린, 에칭, 아쿼틴트, 메조틴트, 엠보싱",,,
,,,,,,1958,"종이에 수채, 콜라주",2,종이,수채,,,
,,,,,,1959,"장지에 화선지 꼴라쥬, 채색, 향, 라이터",2,장지,채색,,,
,,,,,,1960,"PLA, 철사, 304스텐",2,기타,기타,분류 미매칭,학습 제외,
,,,,,,1961,"산호, 호박, 진주, 옥",2,기타,기타,분류 미매칭,학습 제외,
,,,,,,1962,목판에 아크릴,2,패널,아크릴릭,,,
,,,,,,1963,"디지털 프린트, 아크릴 보드",2,아크릴 패널,디지털 프린트,,,
,,,,,,1964,캔버스에 볼펜,2,캔버스,펜,,,
,,,,,,1965,"드라이포인트, 에칭, 채색",2,종이,"에칭, 드라이포인트, 채색",,,
,,,,,,1966,"종이에 아크릴, 데콜라주",2,종이,"아크릴릭, 데콜라주",,,
,,,,,,1967,"종이에 모노프린트, 유채, 인그레이빙, 엠보싱",2,종이,"인그레이빙, 엠보싱, 유채",모노타이프,,
,,,,,,1968,나무 패널 위 아르쉬지에 과슈,2,목재,수채,,,
,,,,,,1969,"종이에 박, 석채",2,종이,채색,,,
,,,,,,1970,"한지에 석채, 분채, 자개",2,한지,채색,,,
,,,,,,1971,"종이에 연필, 파스텔",2,종이,"연필, 파스텔",,,
,,,,,,1972,종이패널에 혼합재료,2,종이,혼합재료,,,
,,,,,,1973,종이패널에 수채화,2,종이,수채,,,
,,,,,,1974,과반 위 캔버스에 혼합재료,2,캔버스,혼합재료,,,
,,,,,,1975,"종이에 유채, 아크릴",2,종이,"유채, 아크릴릭",,,
,,,,,,1976,"종이보드에 마커, 수성 잉크",2,보드,"마커, 잉크",,,
,,,,,,1977,"카드, 아크릴, 나무, 페트",2,목재,아크릴,,학습 제외,
,,,,,,1978,"종이에 먹, 혼합재료",2,종이,수묵,,,
,,,,,,1979,"캔버스에 안료, 혼합재료, 자개",2,캔버스,혼합재료,,,
,,,,,,1980,"한지에 수간채색, 먹, 순금박",2,한지,수묵,,,
,,,,,,1981,"한지에 먹, 채색",2,한지,수묵,,,
,,,,,,1982,은(980),2,기타,기타,분류 미매칭,학습 제외,
,,,,,,1983,"나무 패널에 아크릴, 종이",2,종이,아크릴릭,,,
,,,,,,1984,"레진, 골드 플레이트",2,없음,조각,,,
,,,,,,1985,"은행나무, 추자나무",2,목재,기타,분류 미매칭,,
,,,,,,1986,종이봉투에 색연필,2,종이,색연필,,,
,,,,,,1987,"캔버스에 아크릴, 유리",2,캔버스,"아크릴릭, 유리",,,
,,,,,,1988,동유화,2,기타,기타,분류 미매칭,학습 제외,
,,,,,,1989,"캔버스에 아크릴, 오일파스텔, 마커",2,캔버스,"아크릴릭, 오일 파스텔, 마커",,,
,,,,,,1990,"캔버스에 아크릴, 유채, 목탄, 스프레이 페인트",2,캔버스,"아크릴릭, 유채, 목탄, 스프레이",,,
,,,,,,1991,"대나무, 소나무",2,목재,기타,분류 미매칭,,
,,,,,,1992,알루미늄 철망,2,금속,조각,,,
,,,,,,1993,"종이에 수묵채색, 아크릴",2,종이,"아크릴릭, 수묵",,,
,,,,,,1994,한지에 수간채색,2,한지,채색,,,
,,,,,,1995,칠판에 오일파스텔,2,기타,오일 파스텔,,,
,,,,,,1996,"캔버스에 아크릴, 비비탄",2,캔버스,"아크릴릭, 기타",,,
,,,,,,1997,"슬레이트 보드, 알루미늄 프레임, LED 라이트, 혼합 재료",2,목재,혼합재료,,,
,,,,,,1998,3D 멀티플 보드에 유채,2,종이,유채,,,
,,,,,,1999,종이보드에 연필,2,보드,연필,,,
,,,,,,2000,"장지에 먹, 스프레이",2,장지,수묵,,,
,,,,,,2001,순지에 먹과 호분,2,종이,수묵,,,
,,,,,,2002,종이 패널에 드로잉,2,종이,연필/드로잉,,학습 제외,
,,,,,,2003,"캔버스에 나비, 하우스홀드 글로스",2,캔버스,기타,분류 미매칭,,
,,,,,,2004,"코튼에 유채, 연필",2,캔버스,"유채, 연필",,,
,,,,,,2005,"한지에 수채, 유성색연필",2,한지,수채,,,
,,,,,,2006,"캔버스에 파스텔, 오일파스텔",2,캔버스,"파스텔, 오일 파스텔",,,
,,,,,,2007,"수지에 유채, 나무에 조각받침",2,목재,유화,,학습 제외,
,,,,,,2008,"캔버스에 유채, 자개",2,캔버스,"유채, 자개",,,
,,,,,,2009,"종이에 잉크, 채색",2,종이,채색,,,
,,,,,,2010,"종이에 모노프린트, 유채, 콜라주, 엠보싱",2,종이,"엠보싱, 유채, 콜라주",모노타이프,,
,,,,,,2011,"캔버스에 아크릴, 유성 잉크",2,캔버스,"아크릴릭, 잉크",,,
,,,,,,2012,추자목,2,기타,기타,분류 미매칭,학습 제외,
,,,,,,2013,캔버스에 하우스홀드 글로스 페인트,2,캔버스,기타,분류 미매칭,,
,,,,,,2014,캔버스 위에 신문지,2,캔버스,기타,분류 미매칭,,
,,,,,,2015,마티에르 프린트,2,종이,인쇄/복제,,학습 제외,
,,,,,,2016,나무 패널에 밀랍화 기법,2,목재,기타,분류 미매칭,,
,,,,,,2017,비단에 메탈릭 피그먼트,2,비단,메탈릭 피그먼트,,,
,,,,,,2018,"나무 패널, 사포에 오일파스텔",2,"패널, 사포",오일 파스텔,,,
,,,,,,2019,"코튼종이에 아크릴, 수채, 연필",2,종이,"아크릴릭, 수채, 연필",,,
,,,,,,2020,아크릴판에 혼합재료,2,아크릴 패널,혼합재료,,,
,,,,,,2021,캔버스에 아크릴과슈,2,캔버스,아크릴릭,,,
,,,,,,2022,캔버스에 프로타주,2,캔버스,기타,분류 미매칭,,
,,,,,,2023,은 플레이트에 에칭,2,종이,판화,,학습 제외,
,,,,,,2024,"실크, 자수, 호두나무, 은, 황동, 스프레…",2,목재,섬유,,,
,,,,,,2025,"종이에 아크릴, 펜, 연필",2,종이,"아크릴릭, 펜, 연필",,,
,,,,,,2026,종이에 지클레이 프린트,2,종이,지클레이 프린트,,,
,,,,,,2027,종이에 모노타이프,2,종이,기타,분류 미매칭,,
,,,,,,2028,"과반에 유채, 아크릴",2,기타,유화,,학습 제외,
,,,,,,2029,"파덕, 스팔티드 메이플, 황동",2,기타,기타,분류 미매칭,학습 제외,
,,,,,,2030,"캔버스에 목탄, 인조모피",2,캔버스,"목탄, 기타",,,
,,,,,,2031,"장지에 채색, 금박",2,장지,채색,,,
,,,,,,2032,"캔버스에 아크릴, 자개, 금박",2,캔버스,"아크릴릭, 자개, 금박",,,
,,,,,,2033,금속판에 혼합재료,2,금속,혼합재료,,,
,,,,,,2034,"종이에 수묵채색, 금분",2,종이,수묵,,,
,,,,,,2035,"장지에 석채, 먹, 금박",2,장지,수묵,,,
,,,,,,2036,패널 위 종이에 수묵,2,종이,수묵,,,
,,,,,,2037,"나무, 철",2,목재,기타,분류 미매칭,,
,,,,,,2038,"실크스크린, 잉크젯프린트",2,종이,"실크스크린, 디지털 프린트",,,
,,,,,,2039,악어가죽,2,기타,기타,분류 미매칭,학습 제외,
,,,,,,2040,"카드보드에 아크릴, 연필",2,보드,"아크릴릭, 연필",,,
,,,,,,2041,"캔버스 위 종이에 아크릴, 수채",2,종이,"아크릴릭, 수채",,,
,,,,,,2042,장지에 먹과 과슈,2,장지,수채,,,
,,,,,,2043,"한지에 수채, 크래용, 유성색연필",2,한지,수채,,,
,,,,,,2044,아노다이징 알루미늄에 스크린프린트,2,금속,실크스크린,,,
,,,,,,2045,콘크리트,2,기타,기타,분류 미매칭,학습 제외,
,,,,,,2046,"하드보드에 연필, 아크릴",2,보드,"아크릴릭, 연필",,,
,,,,,,2047,아크릴판과 캔버스에 혼합재료,2,"아크릴 패널, 캔버스",혼합재료,,,
,,,,,,2048,"캔버스에 시멘트, 모래, 유채",2,캔버스,"유채, 시멘트, 모래",,,
,,,,,,2049,"캔버스에 아크릴, 과슈, 오일파스텔",2,캔버스,"아크릴릭, 과슈, 오일 파스텔",,,
,,,,,,2050,캔버스에 천연 피그먼트,2,캔버스,기타,,,
,,,,,,2051,카드보드에 오일스틱,2,보드,오일스틱,,,
,,,,,,2052,"종이에 먹, 연필",2,종이,수묵,,,
,,,,,,2053,"종이에 수채, 모노타이프",2,종이,수채,,,
,,,,,,2054,채색된 나무보드에 실크스크린,2,목재,채색,,,
,,,,,,2055,"레진, 혼합재료",2,기타,혼합재료,,학습 제외,
,,,,,,2056,"오프셋 프린트, 혼합재료",2,종이,"오프셋 프린트, 혼합재료",,,
,,,,,,2057,"무늬봉투, 모눈종이, 색종이, 콜라주",2,종이,혼합재료,,,
