,,,,,,,,,,,,,
,idx,재료(지지체),도구(매체),건수,,idx,수집 재료,건수,난트 기준 재료(지지체),난트 기준 도구(매체),비고,비고2,비고3
,79,섬유,조각,1,,79,mixed media on Korean paper,99,종이,혼합재료,,,
,80,섬유,섬유,31,,80,캔버스 위 한지에 혼합재료,98,"캔버스, 한지",혼합재료,,,
,81,섬유,기타,60,,81,color on paper,96,종이,채색,,,
,82,없음,조각,1653,,82,필사본,96,기타,기타,분류 미매칭,학습 제외(고미술),
,83,없음,도자,603,,83,캔버스에 아크릴릭,95,캔버스,아크릴릭,,,
,84,없음,목공예,160,,84,ink on silk,94,비단,수묵,,,
,85,기타,유화,441,,85,종이에 파스텔,93,종이,파스텔,,,
,86,기타,아크릴,289,,86,ceramic,92,없음,도자,,,
,87,기타,수채,24,,87,나무에 혼합재료,89,목재,혼합재료,,,
,88,기타,수묵,353,,88,오프셋 프린트(사후판화),89,종이,오프셋 프린트,,,
,89,기타,채색,340,,89,종이에 수묵 Ink on Paper,89,종이,수묵,,,
,90,기타,연필/드로잉,156,,90,bronze,88,없음,조각,,학습 제외(입체),
,91,기타,사진/디지털,1082,,91,나무에 조각,87,목재,기타,분류 미매칭,학습 제외(입체),
,92,기타,혼합재료,886,,92,비단에 채색,85,비단,채색,,,
,93,기타,옻칠/래커,35,,93,한지에 혼합재료,84,한지,혼합재료,,,
,94,기타,섬유,64,,94,oil and mineral pigment on canvas,84,캔버스,유채,,,
,95,기타,기타,2060,,95,지클레이 프린트,84,종이,지클레이 프린트,,,
,,,,,,96,gouache on canvas,84,캔버스,수채,,,
,,,,,,97,캔버스에 안료,83,캔버스,안료,분류 미매칭,,
,,,,,,98,acrylic on paper,83,종이,아크릴릭,,,
,,,,,,99,종이에 오일파스텔,80,종이,오일파스텔,,,
,,,,,,100,견본수묵,80,비단,수묵,,,
,,,,,,101,견에 수묵담채,78,비단,수묵,,,
,,,,,,102,캔버스에 과슈,77,캔버스,수채,,,
,,,,,,103,두방지에 수묵담채,75,종이,수묵,,,
,,,,,,104,etching,75,종이,에칭,,,
,,,,,,105,종이에 숯,74,종이,숯,,,
,,,,,,106,아쿼틴트,73,종이,아쿼틴트,,,
,,,,,,107,color on Korean paper,72,종이,채색,,,
,,,,,,108,pencil on paper,71,종이,연필,,,
