artist_name_ko,medium_category,support_category,has_depth,depth_cm,width_cm,height_cm,log_area,estimated_ho,orientation,price_krw_unified,ln_price_krw_unified
진귀원,other,other,1,14.0,20.0,32.0,6.461468176353717,3.19,portrait,4416000.0,15.300744866939068
홍정옥,acrylic,panel,0,0.0,54.0,61.0,8.099857910737585,13.88,portrait,13800000.0,16.440179150127435
이예주,acrylic,other,1,29.0,30.0,94.0,7.944492163932159,11.32,portrait,2500000.0,14.73180128983843
노준,other,other,1,35.0,70.0,49.0,8.140315540159985,14.86,landscape,24840000.0,17.027965815029553
홍정옥,acrylic,other,0,0.0,44.0,54.0,7.773173680482536,9.9,portrait,17250000.0,16.663322701441643
이미정,acrylic,panel,0,0.0,140.0,90.0,9.441452092939569,59.81,landscape,55200000.0,17.826473511247325
최수앙,oil,other,1,36.5,82.0,25.5,7.645397699428633,9.07,landscape,44160000.0,17.603329959933113
김한을,other,other,0,0.0,32.0,20.0,6.461468176353717,3.19,landscape,15180000.0,16.535489329931757
유재연,other,other,1,3.6,20.6,15.6,5.7725619900510265,0.65,landscape,1200000.0,13.997832114758229
윤희이,other,other,1,15.0,33.0,29.0,6.863803391452954,5.02,landscape,2484000.0,14.725380722035506
김아라,acrylic,canvas,1,2.7,63.2,63.2,8.292608602305624,17.85,square,2400000.0,14.690979295318174
최수앙,oil,other,1,32.0,85.0,23.5,7.59965167764043,8.79,landscape,44160000.0,17.603329959933113
함도하,other,paper,1,17.0,35.0,35.0,7.110696122978827,5.78,square,5244000.0,15.472595123865728
노준,other,panel,1,20.0,38.0,20.0,6.633318433280377,3.77,landscape,5520000.0,15.52388841825328
권대훈,other,other,1,70.0,70.0,70.0,8.496990484098719,23.01,square,1380000.0,14.137594057133388
최수앙,other,paper,1,53.0,122.0,62.0,8.931155429778348,36.72,landscape,33120000.0,17.315647887481333
김한을,other,other,0,0.0,42.0,23.0,6.873163834212518,5.05,landscape,15180000.0,16.535489329931757
정현철,other,paper,1,29.0,50.0,40.0,7.600902459542082,8.8,landscape,4140000.0,15.236206345801495
김한을,other,other,0,0.0,33.0,24.0,6.674561391814426,3.92,landscape,15180000.0,16.535489329931757
최수앙,oil,other,1,79.0,28.0,44.0,7.116394144093465,5.8,portrait,22080000.0,16.91018277937317
이병호,acrylic,other,1,12.0,26.0,18.0,6.148468295917647,2.04,landscape,2208000.0,14.607597686379124
박기,other,metal,0,0.0,60.0,50.0,8.006367567650246,11.9,landscape,13800000.0,16.440179150127435
백진기,other,other,0,0.0,28.0,70.0,7.580699752224563,8.69,portrait,4692000.0,15.361369488755503
최수앙,pigment,metal,1,21.0,45.0,18.0,6.697034247666484,4.01,landscape,11040000.0,16.217035598813222
김아라,acrylic,panel,1,45.0,45.0,45.0,7.613324979540639,8.87,square,8800000.0,15.990262279448435
유근택,oil,panel,1,19.0,47.0,27.0,7.1459844677143876,5.91,landscape,5520000.0,15.52388841825328
최수앙,oil,other,1,120.0,79.0,120.0,9.156939595249067,45.58,portrait,49680000.0,17.721112995589497
노준,other,other,1,15.0,21.0,49.0,6.9363427358340495,5.23,portrait,9660000.0,16.0835042061887
홍미희,other,other,0,0.0,20.0,20.0,5.991464547107982,1.4,square,500000.0,13.122363377404328
정현철,acrylic,panel,1,50.0,74.0,95.0,8.857941984804711,32.97,portrait,11040000.0,16.217035598813222
최문석,other,panel,1,6.0,12.0,50.0,6.396929655216146,3.0,portrait,2760000.0,14.830741237693331
이병호,acrylic,other,1,38.0,88.0,144.0,9.447150114054208,60.18,portrait,18630000.0,16.74028374257777
송유정,other,other,0,0.0,91.0,73.0,8.80131894766524,30.24,landscape,4140000.0,15.236206345801495
황병석,ink,other,1,60.0,30.0,70.0,7.649692623711514,9.09,portrait,938400.0,13.751931576321402
김한을,other,other,0,0.0,35.0,21.0,6.5998704992128365,3.65,landscape,15180000.0,16.535489329931757
노준,other,other,1,48.0,80.0,131.0,9.257223957875032,49.43,portrait,41400000.0,17.538791438795542
