candidate_label,scenario_count,validation_avg_delta_MdAPE_vs_current_pp258,validation_avg_delta_MAPE_vs_current_pp258,validation_avg_delta_p95_vs_current_pp258,validation_avg_MdAPE_win_rate,validation_avg_MAPE_win_rate,validation_avg_p95_win_rate,validation_avg_all3_win_rate,validation_avg_stability_score,fixed_validation_MdAPE,fixed_validation_MAPE,fixed_validation_p95_APE,fixed_validation_RMSE_log,fixed_validation_delta_MdAPE_vs_current_pp258,fixed_validation_delta_MAPE_vs_current_pp258,fixed_validation_delta_p95_vs_current_pp258,fixed_test_MdAPE,fixed_test_MAPE,fixed_test_p95_APE,fixed_test_RMSE_log,fixed_test_delta_MdAPE_vs_current_pp258,fixed_test_delta_MAPE_vs_current_pp258,fixed_test_delta_p95_vs_current_pp258,validation_replacement_score,fixed_confirmation_score,is_reference_baseline,passes_validation_gate,passes_fixed_confirmation
min1_route_w850_risk_q50_altlower_gap005,6,-0.02826552773849297,-0.03285552089632855,-0.0951028337376602,0.9955128205128205,0.9980769230769231,0.9820512820512821,0.9756410256410257,-0.03285552089632855,0.09403317473087637,0.17511402479805038,0.5712913918014471,0.2975405441410193,-0.028674139833831574,-0.030514535181591168,-0.0665967182926156,0.10432612122375012,0.23581406986446796,0.7394162014152162,0.37718983924009925,-0.03665027940277771,-0.0340741259146779,-0.0679085058762301,-0.030514535181591168,-0.0340741259146779,False,True,True
min1_route_w850_risk_q70_altlower_gap005,6,-0.025323836896182353,-0.03286344969333908,-0.09342431190532653,0.9961538461538462,0.9980769230769231,0.9814102564102565,0.9756410256410257,-0.03286344969333908,0.09819631660739556,0.17512238540614403,0.5712913918014471,0.2970947076279462,-0.02451099795731239,-0.030506174573497524,-0.0665967182926156,0.10432612122375012,0.23600655869871803,0.7394162014152162,0.3760877893305673,-0.03665027940277771,-0.03388163708042782,-0.0679085058762301,-0.030506174573497524,-0.03388163708042782,False,True,True
min1_route_w850_risk_q50_altlower_gap010,6,-0.028194040523777653,-0.032805579515209224,-0.0951028337376602,0.9955128205128205,0.9980769230769231,0.9820512820512821,0.9756410256410257,-0.032805579515209224,0.09403317473087637,0.17514708156647052,0.5712913918014471,0.2974765232049531,-0.028674139833831574,-0.03048147841317103,-0.0665967182926156,0.1056244418332164,0.2359803673829196,0.7394162014152162,0.3771802691269085,-0.03535195879331143,-0.03390782839622625,-0.0679085058762301,-0.03048147841317103,-0.03390782839622625,False,True,True
min1_route_w850_risk_q60_altlower_gap005,6,-0.027591395672935864,-0.03281190636131705,-0.0951028337376602,0.9961538461538462,0.9980769230769231,0.9820512820512821,0.9762820512820514,-0.03281190636131705,0.09440661499063376,0.1751587102116,0.5712913918014471,0.2975060424424713,-0.02830069957407419,-0.03046984976804154,-0.0665967182926156,0.10432612122375012,0.23601517532289612,0.7394162014152162,0.3762018506689514,-0.03665027940277771,-0.033873020456249736,-0.0679085058762301,-0.03046984976804154,-0.033873020456249736,False,True,True
min1_route_w850_risk_q70_altlower_gap010,6,-0.02526901490010658,-0.032796785520410765,-0.09342431190532653,0.9961538461538462,0.9980769230769231,0.9814102564102565,0.9756410256410257,-0.032796785520410765,0.09819631660739556,0.1751770454664421,0.5712913918014471,0.297078624250204,-0.02451099795731239,-0.03045151451319944,-0.0665967182926156,0.1056244418332164,0.2361223209547831,0.7394162014152162,0.376080439816931,-0.03535195879331143,-0.033765874824362746,-0.0679085058762301,-0.03045151451319944,-0.033765874824362746,False,True,True
min1_route_w850_risk_q60_altlower_gap010,6,-0.027520495038766694,-0.03275976311178968,-0.0951028337376602,0.9961538461538462,0.9980769230769231,0.9820512820512821,0.9762820512820514,-0.03275976311178968,0.09440661499063376,0.17520180850888162,0.5712913918014471,0.2974580355688689,-0.02830069957407419,-0.030426751470759933,-0.0665967182926156,0.1056244418332164,0.2361246303733806,0.7394162014152162,0.37615502733494094,-0.03535195879331143,-0.03376356540576525,-0.0679085058762301,-0.030426751470759933,-0.03376356540576525,False,True,True
min1_route_w850_risk_q70_altlower_gap020,6,-0.02518402445517973,-0.03254304501065282,-0.09309408128096697,0.9961538461538462,0.9980769230769231,0.9807692307692308,0.975,-0.03254304501065282,0.09819631660739556,0.17538396385502017,0.5712913918014471,0.2969928231547633,-0.02451099795731239,-0.03024459612462138,-0.0665967182926156,0.10654696791845651,0.2364195473209937,0.7394162014152162,0.37603946919401177,-0.03442943270807132,-0.033468648458152145,-0.0679085058762301,-0.03024459612462138,-0.033468648458152145,False,True,True
min1_route_w850_risk_q50_altlower_gap020,6,-0.026993825780546033,-0.03242395600580488,-0.0944581809269227,0.9961538461538462,0.9980769230769231,0.9814102564102565,0.9756410256410257,-0.03242395600580488,0.09529566095434584,0.1754686522965668,0.5712913918014471,0.29741342532311366,-0.027411653610362102,-0.03015990768307475,-0.0665967182926156,0.10654696791845651,0.2363805377819899,0.7394162014152162,0.37713074637050775,-0.03442943270807132,-0.033507657997155965,-0.0679085058762301,-0.03015990768307475,-0.033507657997155965,False,True,True
min1_route_w850_risk_q60_altlower_gap020,6,-0.026233855976854594,-0.03240290682344231,-0.0944581809269227,0.9961538461538462,0.9980769230769231,0.9814102564102565,0.9756410256410257,-0.03240290682344231,0.0964251703208934,0.17549317391347033,0.5712913918014471,0.29742264623825354,-0.026282144243814545,-0.03013538606617122,-0.0665967182926156,0.10654696791845651,0.23650874631287172,0.7394162014152162,0.3761224872914837,-0.03442943270807132,-0.033379449466274136,-0.0679085058762301,-0.03013538606617122,-0.033379449466274136,False,True,True
min1_route_w850_risk_q50,6,-0.032096197794635746,-0.031686963283102915,-0.08668085922152154,1.0,0.9967948717948718,0.9634615384615385,0.9608974358974359,-0.031686963283102915,0.09065272755456642,0.17595262323723115,0.5772661746139477,0.2975877789449576,-0.03205458701014152,-0.029675936742410397,-0.06062193548011496,0.10175292424743253,0.24058001943200988,0.7740983466158026,0.38029836131186207,-0.039223476379095304,-0.029308176347135978,-0.033226360675643773,-0.029675936742410397,-0.029308176347135978,False,True,True
min1_route_w850_risk_q50_altgap_ge010,6,-0.03221479629225718,-0.03162282840964213,-0.08687003239666441,1.0,0.9967948717948718,0.9641025641025641,0.9615384615384616,-0.03162282840964213,0.09053616874854332,0.17598907407977651,0.5772661746139477,0.2975823328903017,-0.03217114581616462,-0.029639485899865037,-0.06062193548011496,0.10175929436455336,0.2407584792881201,0.7740983466158026,0.38032231573069464,-0.03921710626197447,-0.029129716491025748,-0.033226360675643773,-0.029639485899865037,-0.029129716491025748,False,True,True
min1_route_w850_risk_q50_altgap_ge005,6,-0.03215485793872035,-0.03161193606634032,-0.0866019249646488,1.0,0.9967948717948718,0.9634615384615385,0.9608974358974359,-0.03161193606634032,0.09053616874854332,0.17601251756255454,0.5772661746139477,0.29761764839416494,-0.03217114581616462,-0.029616042417087013,-0.06062193548011496,0.10175292424743253,0.24064080143502717,0.7740983466158026,0.38035744890120315,-0.039223476379095304,-0.029247394344118688,-0.033226360675643773,-0.029616042417087013,-0.029247394344118688,False,True,True
min1_route_w850_risk_q70,6,-0.02876764077471002,-0.031709866880426534,-0.08669806160256917,1.0,0.9967948717948718,0.9653846153846154,0.9628205128205128,-0.031709866880426534,0.09440661499063376,0.17604424086164588,0.5772661746139477,0.2971724122762129,-0.02830069957407419,-0.029584319117995667,-0.06062193548011496,0.103393186957145,0.2391139380813549,0.7740983466158026,0.37827154283476594,-0.03758321366938283,-0.030774257697790963,-0.033226360675643773,-0.029584319117995667,-0.030774257697790963,False,True,True
min1_route_w800_risk_q50_altlower_gap005,6,-0.02759186627132176,-0.03170271592192667,-0.09453225264508419,0.9942307692307693,0.9980769230769231,0.9820512820512821,0.9743589743589745,-0.03170271592192667,0.09440661499063376,0.17604551273469066,0.5712913918014471,0.2972421139614008,-0.02830069957407419,-0.029583047244950894,-0.0665967182926156,0.10432612122375012,0.23683109731890417,0.7394162014152162,0.377016335176641,-0.03665027940277771,-0.033057098460241685,-0.0679085058762301,-0.029583047244950894,-0.033057098460241685,False,True,True
