candidate_label,alt_candidate,gate_name,gate_kind,threshold,gap,validation_route_share,test_route_share,validation_n,validation_MdAPE,validation_MAPE,validation_p95_APE,validation_RMSE_log
min1_route_w750_risk_q50,min1_w750_huber_refit_partial,risk_q50,risk_ge,0.25341658691002833,,0.5009633911368016,0.5107084019769358,519,0.09653143450943451,0.17727157298901736,0.5772661746139477,0.2970791275632041
min1_route_w750_risk_q50_altgap_ge005,min1_w750_huber_refit_partial,risk_q50_altgap_ge005,risk_ge_altgap_ge,0.25341658691002833,0.005,0.2697495183044316,0.2784184514003295,519,0.0988127568668821,0.17736511903779142,0.5772661746139477,0.29710726973887946
min1_route_w750_risk_q50_altlower_gap005,min1_w750_huber_refit_partial,risk_q50_altlower_gap005,risk_ge_altlower_gap,0.25341658691002833,0.005,0.14836223506743737,0.12520593080724876,519,0.0988127568668821,0.1772320640833735,0.5712913918014471,0.29726473271178744
min1_route_w750_risk_q50_althigher_gap005,min1_w750_huber_refit_partial,risk_q50_althigher_gap005,risk_ge_althigher_gap,0.25341658691002833,0.005,0.12138728323699421,0.15321252059308071,519,0.10181673880917225,0.1785400903280837,0.5772661746139477,0.2971602305405143
min1_route_w750_risk_q50_altgap_ge010,min1_w750_huber_refit_partial,risk_q50_altgap_ge010,risk_ge_altgap_ge,0.25341658691002833,0.01,0.12138728323699421,0.13838550247116968,519,0.1006250857220497,0.17770386180672418,0.5772661746139477,0.2970764779919304
min1_route_w750_risk_q50_altlower_gap010,min1_w750_huber_refit_partial,risk_q50_altlower_gap010,risk_ge_altlower_gap,0.25341658691002833,0.01,0.0674373795761079,0.07248764415156507,519,0.10029366834484855,0.17752485987822958,0.5712913918014471,0.2972355751240904
min1_route_w750_risk_q50_althigher_gap010,min1_w750_huber_refit_partial,risk_q50_althigher_gap010,risk_ge_althigher_gap,0.25341658691002833,0.01,0.05394990366088632,0.06589785831960461,519,0.10181673880917225,0.1785860373021604,0.5772661746139477,0.29715861228332574
min1_route_w750_risk_q50_altgap_ge020,min1_w750_huber_refit_partial,risk_q50_altgap_ge020,risk_ge_altgap_ge,0.25341658691002833,0.02,0.06165703275529865,0.054365733113673806,519,0.10156770146068649,0.17790045840553823,0.5772661746139477,0.29732818048172954
min1_route_w750_risk_q50_altlower_gap020,min1_w750_huber_refit_partial,risk_q50_altlower_gap020,risk_ge_altlower_gap,0.25341658691002833,0.02,0.030828516377649325,0.026359143327841845,519,0.1006250857220497,0.17775838599710087,0.5712913918014471,0.29727808951024637
min1_route_w750_risk_q50_althigher_gap020,min1_w750_huber_refit_partial,risk_q50_althigher_gap020,risk_ge_althigher_gap,0.25341658691002833,0.02,0.030828516377649325,0.02800658978583196,519,0.10181673880917225,0.17854910778210312,0.5772661746139477,0.29736774976975006
min1_route_w750_risk_q60,min1_w750_huber_refit_partial,risk_q60,risk_ge,0.3062512709471214,,0.4007707129094412,0.43986820428336076,519,0.09653143450943451,0.177411824981718,0.5772661746139477,0.2971583008582152
min1_route_w750_risk_q60_altgap_ge005,min1_w750_huber_refit_partial,risk_q60_altgap_ge005,risk_ge_altgap_ge,0.3062512709471214,0.005,0.2350674373795761,0.24546952224052718,519,0.0988127568668821,0.17749046052388792,0.5772661746139477,0.29719720124841315
min1_route_w750_risk_q60_altlower_gap005,min1_w750_huber_refit_partial,risk_q60_altlower_gap005,risk_ge_altlower_gap,0.3062512709471214,0.005,0.1348747591522158,0.10873146622734761,519,0.0988127568668821,0.1772256934691166,0.5712913918014471,0.2972599252339181
min1_route_w750_risk_q60_althigher_gap005,min1_w750_huber_refit_partial,risk_q60_althigher_gap005,risk_ge_althigher_gap,0.3062512709471214,0.005,0.1001926782273603,0.13673805601317957,519,0.10181673880917225,0.17867180242843717,0.5772661746139477,0.29725495366305665
min1_route_w750_risk_q60_altgap_ge010,min1_w750_huber_refit_partial,risk_q60_altgap_ge010,risk_ge_altgap_ge,0.3062512709471214,0.01,0.11175337186897881,0.12355848434925865,519,0.1006250857220497,0.17775894605788758,0.5772661746139477,0.29712912192109053
min1_route_w750_risk_q60_altlower_gap010,min1_w750_huber_refit_partial,risk_q60_altlower_gap010,risk_ge_altlower_gap,0.3062512709471214,0.01,0.06551059730250482,0.060955518945634266,519,0.10029366834484855,0.1775010108135969,0.5712913918014471,0.2972084579925919
min1_route_w750_risk_q60_althigher_gap010,min1_w750_huber_refit_partial,risk_q60_althigher_gap010,risk_ge_althigher_gap,0.3062512709471214,0.01,0.046242774566473986,0.06260296540362438,519,0.10181673880917225,0.17866497061795655,0.5772661746139477,0.297238358541886
min1_route_w750_risk_q60_altgap_ge020,min1_w750_huber_refit_partial,risk_q60_altgap_ge020,risk_ge_altgap_ge,0.3062512709471214,0.02,0.057803468208092484,0.044481054365733116,519,0.10156770146068649,0.17798028527417278,0.5772661746139477,0.29738745328980704
min1_route_w750_risk_q60_altlower_gap020,min1_w750_huber_refit_partial,risk_q60_altlower_gap020,risk_ge_altlower_gap,0.3062512709471214,0.02,0.030828516377649325,0.019769357495881382,519,0.1006250857220497,0.17775838599710087,0.5712913918014471,0.29727808951024637
min1_route_w750_risk_q60_althigher_gap020,min1_w750_huber_refit_partial,risk_q60_althigher_gap020,risk_ge_althigher_gap,0.3062512709471214,0.02,0.02697495183044316,0.02471169686985173,519,0.10181673880917225,0.17862893465073768,0.5772661746139477,0.29742701469225336
min1_route_w750_risk_q70,min1_w750_huber_refit_partial,risk_q70,risk_ge,0.45332818712336204,,0.30057803468208094,0.34102141680395387,519,0.10029366834484855,0.1772553863131714,0.5772661746139477,0.29689544959281206
min1_route_w750_risk_q70_altgap_ge005,min1_w750_huber_refit_partial,risk_q70_altgap_ge005,risk_ge_altgap_ge,0.45332818712336204,0.005,0.17726396917148363,0.19439868204283361,519,0.10029366834484855,0.1773309424315386,0.5772661746139477,0.2969291044053547
min1_route_w750_risk_q70_altlower_gap005,min1_w750_huber_refit_partial,risk_q70_altlower_gap005,risk_ge_altlower_gap,0.45332818712336204,0.005,0.10404624277456648,0.09060955518945635,519,0.10029366834484855,0.17715768307063828,0.5712913918014471,0.29704550186681977
min1_route_w750_risk_q70_althigher_gap005,min1_w750_huber_refit_partial,risk_q70_althigher_gap005,risk_ge_althigher_gap,0.45332818712336204,0.005,0.07321772639691715,0.10378912685337727,519,0.10156770146068649,0.17858029473456613,0.5772661746139477,0.297201374594846
min1_route_w750_risk_q70_altgap_ge010,min1_w750_huber_refit_partial,risk_q70_altgap_ge010,risk_ge_altgap_ge,0.45332818712336204,0.01,0.09633911368015415,0.10049423393739704,519,0.10029366834484855,0.17751663862207195,0.5772661746139477,0.29685168981574606
min1_route_w750_risk_q70_altlower_gap010,min1_w750_huber_refit_partial,risk_q70_altlower_gap010,risk_ge_altlower_gap,0.45332818712336204,0.01,0.05394990366088632,0.051070840197693576,519,0.10029366834484855,0.1773477850083059,0.5712913918014471,0.29696360279679734
min1_route_w750_risk_q70_althigher_gap010,min1_w750_huber_refit_partial,risk_q70_althigher_gap010,risk_ge_althigher_gap,0.45332818712336204,0.01,0.04238921001926782,0.04942339373970346,519,0.10156770146068649,0.17857588898743185,0.5772661746139477,0.29720588580615404
min1_route_w750_risk_q70_altgap_ge020,min1_w750_huber_refit_partial,risk_q70_altgap_ge020,risk_ge_altgap_ge,0.45332818712336204,0.02,0.05009633911368015,0.04118616144975288,519,0.1006250857220497,0.1778242412969326,0.5772661746139477,0.29724805499547974
min1_route_w750_risk_q70_altlower_gap020,min1_w750_huber_refit_partial,risk_q70_altlower_gap020,risk_ge_altlower_gap,0.45332818712336204,0.02,0.025048169556840076,0.019769357495881382,519,0.1006250857220497,0.1776657889015724,0.5712913918014471,0.2971582673685143
min1_route_w750_risk_q70_althigher_gap020,min1_w750_huber_refit_partial,risk_q70_althigher_gap020,risk_ge_althigher_gap,0.45332818712336204,0.02,0.025048169556840076,0.0214168039538715,519,0.10156770146068649,0.178565487769026,0.5772661746139477,0.29740740496925944
min1_route_w750_risk_q80,min1_w750_huber_refit_partial,risk_q80,risk_ge,0.5822222054361198,,0.2003853564547206,0.2273476112026359,519,0.10029366834484855,0.17789782038853627,0.5712913918014471,0.29713625630729223
min1_route_w750_risk_q80_altgap_ge005,min1_w750_huber_refit_partial,risk_q80_altgap_ge005,risk_ge_altgap_ge,0.5822222054361198,0.005,0.1252408477842004,0.13344316309719934,519,0.10029366834484855,0.17793350182492138,0.5712913918014471,0.2971495360186418
min1_route_w750_risk_q80_altlower_gap005,min1_w750_huber_refit_partial,risk_q80_altlower_gap005,risk_ge_altlower_gap,0.5822222054361198,0.005,0.06936416184971098,0.07084019769357495,519,0.10029366834484855,0.17769884439903852,0.5712913918014471,0.2973015795709074
min1_route_w750_risk_q80_althigher_gap005,min1_w750_huber_refit_partial,risk_q80_althigher_gap005,risk_ge_althigher_gap,0.5822222054361198,0.005,0.055876685934489405,0.06260296540362438,519,0.10156770146068649,0.17864169279954867,0.5712913918014471,0.29716563014276787
min1_route_w750_risk_q80_altgap_ge010,min1_w750_huber_refit_partial,risk_q80_altgap_ge010,risk_ge_altgap_ge,0.5822222054361198,0.01,0.07514450867052024,0.06919275123558484,519,0.10029366834484855,0.17804869669600829,0.5712913918014471,0.2971234677083493
min1_route_w750_risk_q80_altlower_gap010,min1_w750_huber_refit_partial,risk_q80_altlower_gap010,risk_ge_altlower_gap,0.5822222054361198,0.01,0.038535645472061654,0.04118616144975288,519,0.10029366834484855,0.17782252019411032,0.5712913918014471,0.29727809579904746
min1_route_w750_risk_q80_althigher_gap010,min1_w750_huber_refit_partial,risk_q80_althigher_gap010,risk_ge_althigher_gap,0.5822222054361198,0.01,0.036608863198458574,0.02800658978583196,519,0.10156770146068649,0.17863321187556377,0.5712913918014471,0.29716305796403697
min1_route_w750_risk_q80_altgap_ge020,min1_w750_huber_refit_partial,risk_q80_altgap_ge020,risk_ge_altgap_ge,0.5822222054361198,0.02,0.036608863198458574,0.02800658978583196,519,0.1006250857220497,0.1782125209651226,0.5712913918014471,0.29741428219272625
min1_route_w750_risk_q80_althigher_gap020,min1_w750_huber_refit_partial,risk_q80_althigher_gap020,risk_ge_althigher_gap,0.5822222054361198,0.02,0.02119460500963391,0.008237232289950576,519,0.10156770146068649,0.17860357756081616,0.5712913918014471,0.2973558722932742
min1_route_w750_risk_q90,min1_w750_huber_refit_partial,risk_q90,risk_ge,0.6845020210860583,,0.1001926782273603,0.15321252059308071,519,0.1006250857220497,0.17777582079711488,0.5712913918014471,0.29725576170168777
min1_route_w750_risk_q90_altgap_ge005,min1_w750_huber_refit_partial,risk_q90_altgap_ge005,risk_ge_altgap_ge,0.6845020210860583,0.005,0.08092485549132948,0.09225700164744646,519,0.1006250857220497,0.17776370852739,0.5712913918014471,0.2972614188681432
min1_route_w750_risk_q90_altlower_gap005,min1_w750_huber_refit_partial,risk_q90_altlower_gap005,risk_ge_altlower_gap,0.6845020210860583,0.005,0.05009633911368015,0.05271828665568369,519,0.1006250857220497,0.1780318290251178,0.5712913918014471,0.29749180913497153
min1_route_w750_risk_q90_althigher_gap005,min1_w750_huber_refit_partial,risk_q90_althigher_gap005,risk_ge_althigher_gap,0.6845020210860583,0.005,0.030828516377649325,0.039538714991762765,519,0.10156770146068649,0.178138914875938,0.5712913918014471,0.29708714015001414
min1_route_w750_risk_q90_altgap_ge010,min1_w750_huber_refit_partial,risk_q90_altgap_ge010,risk_ge_altgap_ge,0.6845020210860583,0.01,0.05202312138728324,0.04612850082372323,519,0.1006250857220497,0.17788251398876426,0.5712913918014471,0.29726423343704633
min1_route_w750_risk_q90_altlower_gap010,min1_w750_huber_refit_partial,risk_q90_altlower_gap010,risk_ge_altlower_gap,0.6845020210860583,0.01,0.028901734104046242,0.02800658978583196,519,0.1006250857220497,0.1781040826991326,0.5712913918014471,0.29745843354671836
min1_route_w750_risk_q90_althigher_gap010,min1_w750_huber_refit_partial,risk_q90_althigher_gap010,risk_ge_althigher_gap,0.6845020210860583,0.01,0.023121387283236993,0.018121911037891267,519,0.10156770146068649,0.17818546666329751,0.5712913918014471,0.2971233733489475
min1_route_w750_risk_q90_altgap_ge020,min1_w750_huber_refit_partial,risk_q90_altgap_ge020,risk_ge_altgap_ge,0.6845020210860583,0.02,0.02697495183044316,0.016474464579901153,519,0.1006250857220497,0.17807791571231954,0.5712913918014471,0.29741450995754876
min1_route_w750_qwidth_ge120,min1_w750_huber_refit_partial,qwidth_ge120,qwidth_ge,1.2,,0.6878612716763006,0.7397034596375618,519,0.09713348190821369,0.17747378810322081,0.5786835981503664,0.29793688153304043
min1_route_w750_qwidth_ge140,min1_w750_huber_refit_partial,qwidth_ge140,qwidth_ge,1.4,,0.4720616570327553,0.5436573311367381,519,0.10029366834484855,0.17778520702908235,0.5786835981503664,0.2978848924632293
min1_route_w750_qwidth_ge160,min1_w750_huber_refit_partial,qwidth_ge160,qwidth_ge,1.6,,0.27552986512524086,0.3130148270181219,519,0.1006250857220497,0.17781222175164269,0.5712913918014471,0.2971044903233608
min1_route_w750_spread_ge060,min1_w750_huber_refit_partial,spread_ge060,spread_ge,0.06,,0.6011560693641619,0.6013179571663921,519,0.09653143450943451,0.17746985893417921,0.5772661746139477,0.2974673504426971
min1_route_w750_spread_ge100,min1_w750_huber_refit_partial,spread_ge100,spread_ge,0.1,,0.3583815028901734,0.4102141680395387,519,0.09887911415020467,0.17787159485545342,0.5772661746139477,0.29762629116091693
min1_route_w750_spread_ge140,min1_w750_huber_refit_partial,spread_ge140,spread_ge,0.14,,0.24084778420038536,0.24382207578253706,519,0.10029366834484855,0.17786913431322604,0.5772661746139477,0.2975131330838704
min1_route_w750_spread_ge180,min1_w750_huber_refit_partial,spread_ge180,spread_ge,0.18,,0.13872832369942195,0.15485996705107083,519,0.10029366834484855,0.17779672531010376,0.5772661746139477,0.29732793215865133
min1_route_w750_gap_ge015,min1_w750_huber_refit_partial,gap_ge015,gap_ge,0.015,,0.651252408477842,0.6540362438220758,519,0.10029366834484855,0.1778564214380335,0.5783089753382508,0.29751794889306565
min1_route_w750_low_confidence,min1_w750_huber_refit_partial,low_confidence,low_confidence,,,0.33140655105973027,0.3640856672158155,519,0.10029366834484855,0.17730823015826533,0.5772661746139477,0.2969106114166716
min1_route_w750_very_high_price,min1_w750_huber_refit_partial,very_high_price,very_high_price,,,0.21772639691714837,0.21911037891268534,519,0.10137644069401038,0.17807321152010308,0.5712913918014471,0.2973361945976812
min1_route_w750_high_plus_price,min1_w750_huber_refit_partial,high_plus_price,high_plus_price,,,0.6358381502890174,0.6243822075782537,519,0.09819631660739556,0.17812729172840994,0.5704945502803017,0.2975078508654209
min1_route_w775_risk_q50,min1_w775_huber_refit_partial,risk_q50,risk_ge,0.25341658691002833,,0.5009633911368016,0.5107084019769358,519,0.09440661499063376,0.1768111757453976,0.5772661746139477,0.2971610167182895
min1_route_w775_risk_q50_altgap_ge005,min1_w775_huber_refit_partial,risk_q50_altgap_ge005,risk_ge_altgap_ge,0.25341658691002833,0.005,0.34296724470134876,0.342668863261944,519,0.09440661499063376,0.176846905204733,0.5772661746139477,0.29716013753935516
min1_route_w775_risk_q50_altlower_gap005,min1_w775_huber_refit_partial,risk_q50_altlower_gap005,risk_ge_altlower_gap,0.25341658691002833,0.005,0.17726396917148363,0.15485996705107083,519,0.09529566095434584,0.17661459563722026,0.5712913918014471,0.2972450974493095
min1_route_w775_risk_q50_althigher_gap005,min1_w775_huber_refit_partial,risk_q50_althigher_gap005,risk_ge_althigher_gap,0.25341658691002833,0.005,0.16570327552986513,0.18780889621087316,519,0.10085746233646532,0.17863934494117856,0.5772661746139477,0.2972327262973742
min1_route_w775_risk_q50_altgap_ge010,min1_w775_huber_refit_partial,risk_q50_altgap_ge010,risk_ge_altgap_ge,0.25341658691002833,0.01,0.21001926782273603,0.21087314662273476,519,0.0964251703208934,0.1770348624666392,0.5772661746139477,0.29709101909079305
min1_route_w775_risk_q50_altlower_gap010,min1_w775_huber_refit_partial,risk_q50_altlower_gap010,risk_ge_altlower_gap,0.25341658691002833,0.01,0.11560693641618497,0.10049423393739704,519,0.09819631660739556,0.17683193165466526,0.5712913918014471,0.2972300144593702
min1_route_w775_risk_q50_althigher_gap010,min1_w775_huber_refit_partial,risk_q50_althigher_gap010,risk_ge_althigher_gap,0.25341658691002833,0.01,0.09441233140655106,0.11037891268533773,519,0.10085746233646532,0.17860996618563973,0.5772661746139477,0.29717871109199484
min1_route_w775_risk_q50_altgap_ge020,min1_w775_huber_refit_partial,risk_q50_altgap_ge020,risk_ge_altgap_ge,0.25341658691002833,0.02,0.1001926782273603,0.09555189456342669,519,0.09887911415020467,0.1775640131710282,0.5772661746139477,0.2971304611553166
min1_route_w775_risk_q50_altlower_gap020,min1_w775_huber_refit_partial,risk_q50_altlower_gap020,risk_ge_altlower_gap,0.25341658691002833,0.02,0.057803468208092484,0.04942339373970346,519,0.09887911415020467,0.17728195942203614,0.5712913918014471,0.2972414365632432
min1_route_w775_risk_q50_althigher_gap020,min1_w775_huber_refit_partial,risk_q50_althigher_gap020,risk_ge_althigher_gap,0.25341658691002833,0.02,0.04238921001926782,0.04612850082372323,519,0.10156770146068649,0.17868908912265788,0.5772661746139477,0.2972067185202941
min1_route_w775_risk_q60,min1_w775_huber_refit_partial,risk_q60,risk_ge,0.3062512709471214,,0.4007707129094412,0.43986820428336076,519,0.09440661499063376,0.17702645824831867,0.5772661746139477,0.29727344414947476
min1_route_w775_risk_q60_altgap_ge005,min1_w775_huber_refit_partial,risk_q60_altgap_ge005,risk_ge_altgap_ge,0.3062512709471214,0.005,0.28709055876685935,0.2981878088962109,519,0.09440661499063376,0.17704683685798606,0.5772661746139477,0.2972789513397237
min1_route_w775_risk_q60_altlower_gap005,min1_w775_huber_refit_partial,risk_q60_altlower_gap005,risk_ge_altlower_gap,0.3062512709471214,0.005,0.15221579961464354,0.13344316309719934,519,0.09529566095434584,0.17663750546421236,0.5712913918014471,0.29723507682016453
min1_route_w775_risk_q60_althigher_gap005,min1_w775_huber_refit_partial,risk_q60_althigher_gap005,risk_ge_althigher_gap,0.3062512709471214,0.005,0.1348747591522158,0.16474464579901152,519,0.10085746233646532,0.17881636676743948,0.5772661746139477,0.297361527798684
