split,model,median_ape,mape,p90_ape,p95_ape,within_30,within_50,rmse_log
val_cold,lightgbm_basic,0.40286369884194134,0.6816532457294168,1.393365745219049,1.998073443524752,0.376655925528106,0.5878983172216254,0.6843218902960787
val_cold,huber_onehot,0.403701679055632,0.5746002700663746,1.1477452589757975,1.4788273162041163,0.3952738990332975,0.6158252774794128,0.6656963878845408
val_cold,hist_gbdt_ordinal,0.41682210717322027,0.6571142839076781,1.3552134741737338,2.014035890547768,0.3827425707124955,0.5918367346938775,0.6771552605801407
val_cold,ridge_onehot,0.46934226256574985,0.6655160523276712,1.3256770033305578,1.8339173645492781,0.3422842821339062,0.5198711063372717,0.6755247503745503
val_cold,log_median_dummy,0.9156455613360931,2.16171802387952,6.415402172913909,8.195098694413247,0.1435732187611887,0.2731829573934837,1.330835610517572
val_warm,hist_gbdt_ordinal,0.4578740231469536,0.7042995659379854,1.3973270060683443,2.3857139221702477,0.32695984703632885,0.5219885277246654,0.848647699252966
val_warm,lightgbm_basic,0.4621931311845788,0.6854197727616556,1.2961402160295683,2.1336720533777043,0.3326959847036329,0.5315487571701721,0.8448813507471697
val_warm,huber_onehot,0.47021418447293184,0.6520813172653888,1.4219079238522805,1.8288682497715345,0.32504780114722753,0.5430210325047801,0.8819388611956698
val_warm,ridge_onehot,0.5451453300027919,0.7590384807562928,1.740246218043996,2.2424749607347296,0.27533460803059273,0.4608030592734226,0.8895347404643645
val_warm,log_median_dummy,0.7701225326396688,1.6323098047424742,4.4453352118058795,7.05196936489,0.17590822179732313,0.31166347992351817,1.3427688181482058
