model,median_ape,mape,p90_ape,p95_ape,within_30,within_50,rmse_log
hist_quantile_ordinal,0.39028986515866076,0.6152464532978237,1.2002775062164777,1.8895084941827875,0.3902613677049767,0.615109201575367,0.6795128814061809
lightgbm_basic,0.40286369884194134,0.6816532457294168,1.393365745219049,1.998073443524752,0.376655925528106,0.5878983172216254,0.6843218902960787
huber_onehot,0.4051701067998763,0.5806453114080783,1.1485241385974982,1.4673582258901734,0.3938417472252059,0.6168993913354816,0.6671404218646001
catboost_basic,0.405756266953096,0.619350480957844,1.3297209687399663,1.7653168824710226,0.3752237737200143,0.58968850698174,0.6664791521080363
xgboost_basic,0.4230289912169367,0.6568938282259774,1.464112757516589,1.933089937556721,0.38310060866451845,0.5678481919083422,0.6847110153184706
ridge_onehot,0.46934226256574985,0.6655160523276712,1.3256770033305578,1.8339173645492781,0.3422842821339062,0.5198711063372717,0.6755247503745503
