split,model,feature_set,features,median_ape,mape,p90_ape,p95_ape,within_30,within_50,rmse_log
val_cold,huber_cold,all_operational_combos,"['width_cm', 'height_cm', 'depth_cm', 'area_cm2', 'log_area', 'aspect_ratio', 'has_depth', 'is_3d_candidate', 'medium_category', 'support_category', 'medium_support_bucket', 'is_extreme_aspect_ratio', 'size_bucket', 'shape_bucket', 'medium_size_bucket', 'support_size_bucket', 'medium_shape_bucket', 'is_large_2d', 'is_large_3d']",0.4023445769545501,0.5691273166712297,1.0658770489311147,1.5296933517113802,0.39240959541711423,0.623344074471894,0.659586200099567
val_cold,huber_cold,base_existing_combo,"['width_cm', 'height_cm', 'depth_cm', 'area_cm2', 'log_area', 'aspect_ratio', 'has_depth', 'is_3d_candidate', 'medium_category', 'support_category', 'medium_support_bucket', 'is_extreme_aspect_ratio']",0.4041802271608364,0.7440276350709205,1.1499478141728876,1.477347933618058,0.3920515574650913,0.6140350877192983,0.6906097125904798
val_warm,catboost_warm_artist,base_medium_size,"['width_cm', 'height_cm', 'depth_cm', 'area_cm2', 'log_area', 'aspect_ratio', 'has_depth', 'is_3d_candidate', 'medium_category', 'support_category', 'size_bucket', 'medium_size_bucket', 'artist_key']",0.2665338088134134,0.3961042031503577,0.88978621289033,1.1814319915891345,0.5468451242829828,0.745697896749522,0.6134814740969384
val_warm,catboost_warm_artist,base_support_size,"['width_cm', 'height_cm', 'depth_cm', 'area_cm2', 'log_area', 'aspect_ratio', 'has_depth', 'is_3d_candidate', 'medium_category', 'support_category', 'size_bucket', 'support_size_bucket', 'artist_key']",0.26759727023360863,0.3979707583197335,0.9134402185418956,1.1844536315388388,0.5506692160611855,0.7380497131931166,0.6178591428758415
val_warm,catboost_warm_artist,all_operational_combos,"['width_cm', 'height_cm', 'depth_cm', 'area_cm2', 'log_area', 'aspect_ratio', 'has_depth', 'is_3d_candidate', 'medium_category', 'support_category', 'medium_support_bucket', 'is_extreme_aspect_ratio', 'size_bucket', 'shape_bucket', 'medium_size_bucket', 'support_size_bucket', 'medium_shape_bucket', 'is_large_2d', 'is_large_3d', 'artist_key']",0.2705202637598002,0.4022820939934687,0.9099328597450004,1.1686121244064784,0.5411089866156787,0.7418738049713193,0.6179984956844212
val_warm,catboost_warm_artist,base_size_shape,"['width_cm', 'height_cm', 'depth_cm', 'area_cm2', 'log_area', 'aspect_ratio', 'has_depth', 'is_3d_candidate', 'medium_category', 'support_category', 'size_bucket', 'shape_bucket', 'artist_key']",0.27308272246215703,0.4048969995742918,0.9002235644352193,1.1628007396647988,0.5430210325047801,0.7380497131931166,0.6186284386142908
val_warm,catboost_warm_artist,base,"['width_cm', 'height_cm', 'depth_cm', 'area_cm2', 'log_area', 'aspect_ratio', 'has_depth', 'is_3d_candidate', 'medium_category', 'support_category', 'artist_key']",0.27379838078524277,0.39409138018294126,0.8814012888994464,1.1570920007977505,0.5258126195028681,0.7380497131931166,0.6116236913193592
val_warm,catboost_warm_artist,base_large_flags,"['width_cm', 'height_cm', 'depth_cm', 'area_cm2', 'log_area', 'aspect_ratio', 'has_depth', 'is_3d_candidate', 'medium_category', 'support_category', 'size_bucket', 'is_large_2d', 'is_large_3d', 'artist_key']",0.2739850136833104,0.39650131005668393,0.8915383756838535,1.2439233307169892,0.5315487571701721,0.7380497131931166,0.6191815920691943
val_warm,catboost_warm_artist,base_existing_combo,"['width_cm', 'height_cm', 'depth_cm', 'area_cm2', 'log_area', 'aspect_ratio', 'has_depth', 'is_3d_candidate', 'medium_category', 'support_category', 'medium_support_bucket', 'is_extreme_aspect_ratio', 'artist_key']",0.2828802971649171,0.4022385218725642,0.9017114736838265,1.185428602163492,0.5124282982791587,0.7304015296367112,0.6190832958468634
val_warm,catboost_warm_artist,base_medium_shape,"['width_cm', 'height_cm', 'depth_cm', 'area_cm2', 'log_area', 'aspect_ratio', 'has_depth', 'is_3d_candidate', 'medium_category', 'support_category', 'shape_bucket', 'medium_shape_bucket', 'artist_key']",0.28804624830288317,0.4031926136207558,0.8856014823463535,1.201119703604202,0.51434034416826,0.7323135755258127,0.618963155820608
