model,split,slice,n,median_ape,p90_ape,p95_ape,within_30,within_50,q80_abs_log_error,q80_range_multiplier,overall_median_ape,overall_p95_ape,risk_flag
catboost_cold__base_medium_shape,test_cold,extreme_shape,50,0.7044133929369757,2.4539512410443147,3.260781891286529,0.24,0.44,1.2395188629613578,3.4539512410443125,0.4838528566642456,4.797370903310538,True
catboost_cold__base_medium_shape,test_cold,3d,42,0.7008746308842624,1.8898631785786182,3.020254012973769,0.14285714285714285,0.23809523809523808,1.3447858160672297,3.8373645507436254,0.4838528566642456,4.797370903310538,True
catboost_cold__base_medium_shape,test_cold,unbalanced_shape,350,0.5710062280303716,1.8118375701727036,2.4539512410443147,0.24,0.4514285714285714,0.989743415228651,2.6905440311496647,0.4838528566642456,4.797370903310538,True
catboost_cold__base_medium_shape,test_cold,large_q5,834,0.4560154290287507,2.1235043031480374,7.618958414853769,0.3609112709832134,0.5383693045563549,1.1615128908195216,3.1947629493474583,0.4838528566642456,4.797370903310538,True
catboost_cold__base_medium_shape,test_cold,all,3099,0.4838528566642456,2.344098420547506,4.797370903310538,0.29557921910293644,0.5191997418522104,1.043608905207844,2.8394458366920343,0.4838528566642456,4.797370903310538,False
catboost_cold__base_medium_shape,test_cold,2d,3057,0.4796122313744084,2.3475278458299393,4.797370903310538,0.29767746156362446,0.5230618253189402,1.0313843828501768,2.8049462675854797,0.4838528566642456,4.797370903310538,False
catboost_cold__base_medium_shape,test_cold,small_q1,474,0.4600065004234427,1.0324919708519087,1.9718271046375837,0.35232067510548526,0.5611814345991561,0.9729601305734958,2.645764688138316,0.4838528566642456,4.797370903310538,False
huber_warm_artist__base_existing_combo,test_warm,low_artist_history,88,0.4886138581438994,1.2830272238898717,2.0306403449027783,0.3181818181818182,0.5113636363636364,0.9359270540767246,2.5495759572725043,0.2274247815271273,2.0130405516998966,True
huber_warm_artist__base_existing_combo,test_warm,small_q1,133,0.3238747437103042,1.320474049424658,1.744146054647178,0.47368421052631576,0.6165413533834586,0.9022191368140565,2.465067367692881,0.2274247815271273,2.0130405516998966,True
huber_warm_artist__base_existing_combo,test_warm,unbalanced_shape,65,0.2751175358270153,3.0312181048121403,3.5300554903769044,0.5230769230769231,0.6615384615384615,1.0176491791793314,2.7666831368065496,0.2274247815271273,2.0130405516998966,True
huber_warm_artist__base_existing_combo,test_warm,extreme_shape,12,0.605244002511427,3.311559665258621,4.455627698260191,0.25,0.4166666666666667,1.3455131374449552,3.840156563237614,0.2274247815271273,2.0130405516998966,False
huber_warm_artist__base_existing_combo,test_warm,3d,12,0.4792366106337441,1.6478385761883032,3.43890925493944,0.16666666666666666,0.5,1.089581188944209,2.973028674509964,0.2274247815271273,2.0130405516998966,False
huber_warm_artist__base_existing_combo,test_warm,all,607,0.2274247815271273,1.1021478937952278,2.0130405516998966,0.5897858319604613,0.7232289950576606,0.7391492137881489,2.09415307980065,0.2274247815271273,2.0130405516998966,False
huber_warm_artist__base_existing_combo,test_warm,2d,595,0.2250431967935698,1.0773716206223185,1.955087460264748,0.5983193277310924,0.7277310924369748,0.73058467426279,2.0762942086446987,0.2274247815271273,2.0130405516998966,False
huber_warm_artist__base_existing_combo,test_warm,large_q5,150,0.20854988702326333,0.9091846703089307,2.1001127009897442,0.6266666666666667,0.7533333333333333,0.6564028329265971,1.9278450658569228,0.2274247815271273,2.0130405516998966,False
lightgbm_cold__base_large_flags,test_cold,3d,42,0.7073673303446277,1.243105241669813,2.278551045200265,0.19047619047619047,0.23809523809523808,1.404230738688188,4.072392801783959,0.4920526511771129,4.792411133229248,True
lightgbm_cold__base_large_flags,test_cold,extreme_shape,50,0.6593019850859297,3.797257909827741,3.9293342846578043,0.26,0.38,1.5680444858917735,4.797257909827737,0.4920526511771129,4.792411133229248,True
lightgbm_cold__base_large_flags,test_cold,unbalanced_shape,350,0.5686060791004696,2.0063725816290523,3.061157651230113,0.24571428571428572,0.42,0.9651694341581195,2.6252324228396358,0.4920526511771129,4.792411133229248,True
lightgbm_cold__base_large_flags,test_cold,large_q5,834,0.4915050693305034,2.18342986849768,7.008497808286164,0.3345323741007194,0.5071942446043165,1.160370949811323,3.191116800763644,0.4920526511771129,4.792411133229248,True
lightgbm_cold__base_large_flags,test_cold,all,3099,0.4920526511771129,2.1968243936683054,4.792411133229248,0.308486608583414,0.5088738302678283,1.0440129698751612,2.8405933882563095,0.4920526511771129,4.792411133229248,False
lightgbm_cold__base_large_flags,test_cold,2d,3057,0.4881039432722783,2.1968243936683054,4.809851945886474,0.310107948969578,0.5125940464507688,1.024026849768433,2.7843845172644963,0.4920526511771129,4.792411133229248,False
lightgbm_cold__base_large_flags,test_cold,small_q1,474,0.46251277801518403,1.0572661789991002,1.722295829735104,0.379746835443038,0.5421940928270043,0.9730597833259994,2.6460283590095113,0.4920526511771129,4.792411133229248,False
lightgbm_cold__base_support_size,test_cold,3d,42,0.6864532350244215,1.692642086594472,2.8994821343094705,0.16666666666666666,0.2619047619047619,1.3741461557575303,3.9517011447462607,0.4859335959948777,4.7611937713090295,True
lightgbm_cold__base_support_size,test_cold,extreme_shape,50,0.6220211139053036,3.8529587619265047,3.8529587619265047,0.28,0.38,1.5430059751405218,4.678633008869878,0.4859335959948777,4.7611937713090295,True
lightgbm_cold__base_support_size,test_cold,large_q5,834,0.47458086718943493,2.087827445536095,7.135535133618376,0.3249400479616307,0.5227817745803357,1.133048668823282,3.1051085323212706,0.4859335959948777,4.7611937713090295,True
lightgbm_cold__base_support_size,test_cold,unbalanced_shape,350,0.5439294797235267,1.8712015622787534,3.2234658152941247,0.25142857142857145,0.44,0.9794763835950757,2.6630614541296946,0.4859335959948777,4.7611937713090295,False
lightgbm_cold__base_support_size,test_cold,all,3099,0.4859335959948777,2.108587787889333,4.7611937713090295,0.2994514359470797,0.515650209745079,1.0347315153597927,2.814350524292229,0.4859335959948777,4.7611937713090295,False
lightgbm_cold__base_support_size,test_cold,2d,3057,0.4833528103416689,2.1110738204218,4.804792675751568,0.3012757605495584,0.5191364082433758,1.0267118592908093,2.7918706618946443,0.4859335959948777,4.7611937713090295,False
lightgbm_cold__base_support_size,test_cold,small_q1,474,0.4503342546925283,1.1286360456077003,1.7997430796103826,0.38396624472573837,0.5337552742616034,0.9395863751372193,2.5589227653240894,0.4859335959948777,4.7611937713090295,False
